XP/Win7 usage for:  Sun Apr 12 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,270,87,2713,1745,6.2,10,36,1674
acs-blb,4,3,33,24,11.9,8,89,47.6
acs-cntr315,24,10,174,101,4.8,7,40,115.2
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,7,2,29,16,2.0,4,30,14
acs-cpmc205,1,1,6,2,0.5,6,4,0.5
acs-gh18a,1,1,1,1,0.1,1,4,0.1
acs-gh18b,9,5,29,23,3.1,3,61,27.9
acs-gl1w,18,18,356,233,17.9,19,56,322.2
acs-hss6033,1,1,12,8,1.0,12,5,1
acs-manb114,12,12,85,57,5.0,7,42,60
acs-manb206,35,27,356,220,9.8,10,58,343
acs-may2110,4,2,6,5,1.3,1,77,5.2
acs-may2130,2,1,5,3,1.8,2,54,3.6
acs-may2306,7,7,68,64,12.0,9,80,84
acs-may2326,1,1,4,2,4.1,4,61,4.1
acs-may4623,18,9,45,24,1.8,2,53,32.4
acs-osb10,1,1,3,3,0.3,3,5,0.3
acs-pch240,6,5,7,7,1.1,1,65,6.6
acs-pch264,24,10,280,168,8.2,11,44,196.8
acs-pch440,3,1,4,3,3.0,1,178,9
acs-raza,8,5,92,67,7.1,11,38,56.8
acs-rcl,1,1,175,149,16.1,175,5,16.1
acs-rh228,3,2,10,6,1.7,3,33,5.1
acs-rimac,3,3,121,103,10.2,40,15,30.6
acs-sungod,9,9,451,344,19.9,50,23,179.1
acs-va228,18,13,48,29,3.0,2,88,54
acs-vilb3w,2,2,129,110,5.2,64,4,10.4
acs-vilb4e,2,2,92,68,4.3,46,5,8.6
acs-york1310,23,20,61,32,5.8,2,174,133.4
acs-york3060,2,1,3,2,0.2,1,10,0.4
acs-york3070,20,17,27,23,1.3,1,76,26
