XP/Win7 usage for:  Sun Apr  5 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,240,95,2489,1654,6.7,10,40,1608
acs-blb,5,4,46,27,10.9,9,72,54.5
acs-cntr315,23,10,137,82,3.4,5,40,78.2
acs-cpmc204,7,3,23,12,2.5,3,50,17.5
acs-cpmc205,1,1,6,2,2.0,6,20,2
acs-gh18a,1,1,1,1,0.2,1,12,0.2
acs-gh18b,8,5,32,25,3.2,4,47,25.6
acs-gl1w,17,16,310,211,18.9,18,63,321.3
acs-hss6033,1,1,11,4,3.9,11,21,3.9
acs-manb114,5,3,11,8,3.3,2,98,16.5
acs-manb206,38,25,291,245,8.8,7,75,334.4
acs-may2110,7,7,87,84,13.2,12,65,92.4
acs-may2130,7,7,89,87,14.2,12,71,99.4
acs-may2306,3,1,4,3,2.5,1,147,7.5
acs-may2326,2,1,4,2,1.6,2,47,3.2
acs-may4623,21,12,63,41,2.4,3,48,50.4
acs-osb10,1,1,7,3,1.0,7,8,1
acs-pch240,1,1,2,2,0.8,2,25,0.8
acs-pch264,23,12,267,154,7.1,11,38,163.3
acs-pch440,1,1,2,1,1.2,2,35,1.2
acs-raza,7,6,92,59,7.4,13,34,51.8
acs-rcl,1,1,141,113,13.3,141,5,13.3
acs-rh228,3,1,8,6,1.7,2,51,5.1
acs-rimac,3,3,86,66,12.0,28,25,36
acs-sungod,9,9,462,330,21.3,51,25,191.7
acs-va228,16,11,56,30,4.2,3,84,67.2
acs-vilb3w,2,2,140,110,6.2,70,5,12.4
acs-vilb4e,2,2,70,53,2.7,35,4,5.4
acs-york1310,23,22,39,30,4.5,1,270,103.5
acs-york3060,1,1,1,1,1.5,1,91,1.5
acs-york3070,1,1,1,1,0.6,1,33,0.6
