XP/Win7 usage for:  Sun Aug 10 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,156,34,576,329,3.3,3,66,514.8
acs-bml,5,3,26,13,5.5,5,66,27.5
acs-cntr315,21,16,58,33,6.2,2,184,130.2
acs-gh18b,1,1,1,1,0.4,1,25,0.4
acs-glbw,18,11,128,71,6.5,7,55,117
acs-hh1155,2,1,3,3,0.1,1,5,0.2
acs-hss6033,1,1,7,5,2.9,7,25,2.9
acs-manb114,7,2,24,5,4.2,3,84,29.4
acs-manb206,3,2,6,2,1.1,2,32,3.3
acs-may2110,2,2,2,1,0.0,1,1,0
acs-may2130,7,6,23,20,2.6,3,51,18.2
acs-may2306,7,7,39,26,5.3,5,63,37.1
acs-may2326,2,1,4,2,0.2,2,7,0.4
acs-osb10,1,1,1,1,0.9,1,54,0.9
acs-pch240,8,7,19,9,3.0,2,91,24
acs-pch264,12,3,51,29,3.4,4,50,40.8
acs-pch440,1,1,1,1,0.1,1,5,0.1
acs-raza,3,2,10,9,1.3,3,25,3.9
acs-rh228,2,1,5,2,4.4,2,131,8.8
acs-rimac,3,2,28,25,0.9,9,6,2.7
acs-sungod,9,4,67,49,2.1,7,17,18.9
acs-va228,6,3,21,4,2.6,3,51,15.6
acs-vilb3w,2,1,4,4,0.1,2,2,0.2
acs-vilb6e,2,2,13,9,27.4,6,274,54.8
acs-york3060,13,11,14,13,2.1,1,124,27.3
acs-york3070,18,14,21,16,1.5,1,90,27
