XP/Win7 usage for:  Sun Aug  3 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,132,35,445,266,2.9,3,57,382.8
acs-bml,5,4,17,14,5.9,3,117,29.5
acs-cntr315,20,15,39,31,2.6,1,158,52
acs-gh18a,3,1,4,2,0.1,1,4,0.3
acs-gh18b,1,1,1,1,0.7,1,40,0.7
acs-glbw,18,11,96,56,6.8,5,81,122.4
acs-hh1155,1,1,1,1,1.2,1,75,1.2
acs-hss6033,1,1,12,7,1.3,12,6,1.3
acs-manb114,6,2,16,4,2.9,2,86,17.4
acs-manb206,2,1,3,1,0.5,1,29,1
acs-may2110,2,1,2,1,0.0,1,1,0
acs-may2130,7,6,26,22,3.1,3,62,21.7
acs-may2306,6,5,10,9,1.8,1,109,10.8
acs-may2326,3,2,6,4,0.1,2,3,0.3
acs-may4623,1,1,1,1,0.1,1,7,0.1
acs-pch240,7,7,7,7,2.5,1,152,17.5
acs-pch264,13,4,33,20,2.7,2,81,35.1
acs-pch440,7,4,24,7,7.0,3,140,49
acs-raza,7,5,18,13,0.6,2,17,4.2
acs-rimac,3,3,25,21,4.8,8,35,14.4
acs-sungod,8,5,61,46,2.0,7,17,16
acs-va228,5,2,18,4,3.7,3,74,18.5
acs-vilb3w,2,1,6,5,2.3,3,46,4.6
acs-vilb6e,2,2,15,12,2.7,7,22,5.4
acs-york1310,1,1,2,1,2.8,2,83,2.8
acs-york3070,1,1,2,1,0.1,2,3,0.1
