XP/Win7 usage for:  Sun Dec 21 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,41,16,59,30,1.2,1,71,49.2
acs-blb,3,2,6,3,5.3,2,158,15.9
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,10,10,11,2,0.1,1,6,1
acs-cpmc205,1,1,1,1,10.0,1,600,10
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18a,2,1,2,1,0.4,1,21,0.8
acs-gl1w,3,1,4,3,0.9,1,56,2.7
acs-hss6033,1,1,2,2,0.2,2,7,0.2
acs-manb114,4,3,6,3,2.1,1,123,8.4
acs-may2326,1,1,1,1,10.0,1,600,10
acs-may4623,2,2,2,1,0.1,1,7,0.2
acs-pch264,4,1,7,3,0.9,1,56,3.6
acs-sungod,5,3,11,7,1.5,2,46,7.5
acs-vilb3w,1,1,1,1,0.0,1,2,0
acs-vilb4e,1,1,2,1,0.1,2,1,0.1
acs-york1310,1,1,1,1,0.1,1,4,0.1
