XP/Win7 usage for:  Sun Dec  7 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,361,158,3544,2102,6.3,9,41,2274.3
acs-blb,5,5,81,55,23.3,16,87,116.5
acs-cntr315,25,23,222,148,6.6,8,49,165
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,6,3,26,13,2.1,4,31,12.6
acs-cpmc205,1,1,1,1,10.0,1,600,10
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18a,3,1,6,3,2.0,2,59,6
acs-gh18b,12,5,72,38,2.3,6,22,27.6
acs-gl1w,18,18,522,325,33.2,29,68,597.6
acs-hss6033,1,1,21,8,6.9,21,19,6.9
acs-manb114,12,12,269,162,16.3,22,44,195.6
acs-manb206,38,19,144,92,4.2,3,83,159.6
acs-may2110,8,6,34,18,17.8,4,266,142.4
acs-may2130,7,7,26,26,16.2,3,323,113.4
acs-may2306,3,2,6,6,1.1,2,34,3.3
acs-may2326,3,1,5,5,0.2,1,14,0.6
acs-may4623,23,21,125,48,15.6,5,187,358.8
acs-osb10,1,1,2,1,0.1,2,3,0.1
acs-pch240,18,17,173,146,6.2,9,41,111.6
acs-pch264,24,14,392,227,14.8,16,55,355.2
acs-pch440,35,34,61,49,0.6,1,33,21
acs-raza,8,7,101,59,7.8,12,38,62.4
acs-rcl,1,1,72,65,6.9,72,5,6.9
acs-rh228,5,4,11,5,0.9,2,28,4.5
acs-rimac,3,3,110,90,9.6,36,15,28.8
acs-sungod,9,9,442,338,22.6,49,27,203.4
acs-va228,12,3,23,15,2.4,1,141,28.8
acs-vilb3w,2,2,303,197,15.1,151,6,30.2
acs-vilb4e,2,2,35,29,3.9,17,13,7.8
acs-york1310,22,19,71,29,6.3,3,125,138.6
acs-york3060,24,23,79,68,2.0,3,39,48
acs-york3070,28,27,107,98,2.6,3,52,72.8
