XP/Win7 usage for:  Sun Feb  1 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,318,142,3641,2247,7.8,11,42,2480.4
acs-blb,5,5,68,35,17.4,13,80,87
acs-cntr315,25,20,296,217,5.9,11,32,147.5
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,10,7,52,28,4.6,5,55,46
acs-cpmc205,1,1,1,1,10.0,1,600,10
acs-gh18a,2,1,3,2,0.2,1,12,0.4
acs-gh18b,12,9,71,51,4.7,5,56,56.4
acs-gl1w,18,18,454,285,23.5,25,56,423
acs-hss6033,1,1,11,6,0.7,11,3,0.7
acs-manb114,12,12,212,157,9.7,17,34,116.4
acs-manb206,35,24,265,208,7.1,7,61,248.5
acs-may2110,2,1,3,3,0.8,1,50,1.6
acs-may2130,1,1,3,2,0.5,3,9,0.5
acs-may2306,6,6,65,65,6.6,10,39,39.6
acs-may2326,1,1,2,2,0.0,2,0,0
acs-may4623,24,10,90,38,6.2,3,123,148.8
acs-mgh2116,1,1,1,1,0.1,1,4,0.1
acs-osb10,1,1,6,4,2.9,6,29,2.9
acs-pch240,18,18,186,169,6.0,10,36,108
acs-pch264,24,13,352,198,12.3,14,52,295.2
acs-pch440,18,15,70,19,8.2,3,164,147.6
acs-raza,8,8,127,82,10.8,15,43,86.4
acs-rcl,1,1,137,107,11.7,137,5,11.7
acs-rh228,2,2,11,5,3.6,5,43,7.2
acs-rimac,3,3,133,98,23.9,44,32,71.7
acs-sungod,9,9,407,312,21.6,45,28,194.4
acs-va228,19,11,86,58,3.6,4,53,68.4
acs-vilb3w,2,2,223,179,11.2,111,6,22.4
acs-vilb4e,2,2,94,66,4.9,47,6,9.8
acs-york1310,2,1,3,2,0.5,1,29,1
acs-york3060,24,23,77,73,4.3,3,86,103.2
acs-york3070,28,25,131,125,5.1,4,77,142.8
