XP/Win7 usage for:  Sun Feb 15 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,308,128,3243,2132,7.9,10,47,2433.2
acs-blb,5,5,47,33,11.6,9,77,58
acs-cntr315,25,18,204,138,4.3,8,32,107.5
acs-cpmc204,9,3,38,14,1.3,4,19,11.7
acs-gh18a,2,2,2,2,0.8,1,47,1.6
acs-gh18b,12,8,52,30,3.8,4,56,45.6
acs-gl1w,18,18,328,202,21.9,18,72,394.2
acs-hss6033,1,1,6,5,1.1,6,11,1.1
acs-manb114,12,12,234,156,11.4,19,36,136.8
acs-manb206,34,19,198,145,5.1,5,60,173.4
acs-may2110,8,7,36,35,7.8,4,116,62.4
acs-may2130,7,6,55,51,1.8,7,15,12.6
acs-may2306,3,2,3,3,0.5,1,29,1.5
acs-may2326,7,6,74,74,2.7,10,16,18.9
acs-may4623,20,13,73,37,8.1,3,161,162
acs-osb10,1,1,5,4,1.4,5,16,1.4
acs-pch240,18,17,174,159,5.8,9,38,104.4
acs-pch264,24,12,323,186,13.2,13,61,316.8
acs-pch440,1,1,3,1,5.9,3,118,5.9
acs-raza,8,8,120,67,8.5,15,33,68
acs-rcl,1,1,132,109,9.4,132,4,9.4
acs-rh228,3,3,12,7,2.1,4,31,6.3
acs-rimac,3,3,101,85,8.9,33,16,26.7
acs-sungod,9,9,380,290,20.3,42,29,182.7
acs-va228,20,14,64,52,2.8,3,55,56
acs-vilb3w,2,2,171,131,7.4,85,5,14.8
acs-vilb4e,2,2,72,50,7.0,36,11,14
acs-york1310,1,1,1,1,0.1,1,7,0.1
acs-york3060,24,23,139,135,8.4,5,100,201.6
acs-york3070,28,27,196,187,10.6,7,90,296.8
