XP/Win7 usage for:  Sun Jan 18 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,249,93,2718,1733,7.2,10,43,1792.8
acs-blb,5,4,42,27,15.9,8,119,79.5
acs-cntr315,25,16,157,111,4.0,6,39,100
acs-cpmc204,9,7,53,25,3.9,5,47,35.1
acs-cpmc205,1,1,1,1,10.0,1,600,10
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18b,10,5,41,33,1.4,4,21,14
acs-gl1w,18,18,337,221,20.6,18,68,370.8
acs-hss6033,1,1,11,4,7.6,11,41,7.6
acs-manb114,12,12,172,136,5.0,14,21,60
acs-manb206,38,25,329,246,8.2,8,61,311.6
acs-may2110,2,1,2,2,0.5,1,31,1
acs-may2130,1,1,3,2,2.4,3,48,2.4
acs-may2306,8,8,74,70,12.8,9,85,102.4
acs-may2326,1,1,1,1,6.6,1,398,6.6
acs-may4623,22,17,94,40,8.4,4,126,184.8
acs-mgh2116,1,1,1,1,0.0,1,1,0
acs-osb10,1,1,2,1,0.1,2,2,0.1
acs-pch240,18,17,117,115,4.2,6,41,75.6
acs-pch264,24,10,280,162,9.3,11,50,223.2
acs-pch440,2,2,4,2,4.4,2,133,8.8
acs-raza,8,8,104,59,5.9,13,27,47.2
acs-rcl,1,1,160,121,12.2,160,4,12.2
acs-rh228,3,2,7,6,0.6,2,18,1.8
acs-rimac,3,3,71,57,10.0,23,26,30
acs-sungod,9,9,384,310,20.1,42,28,180.9
acs-va228,20,17,57,45,2.9,2,88,58
acs-vilb3w,2,2,165,129,9.3,82,6,18.6
acs-vilb4e,2,2,45,34,8.3,22,22,16.6
acs-york1310,1,1,3,1,2.1,3,41,2.1
