XP/Win7 usage for:  Sun Jan  4 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,195,66,1809,1236,5.3,9,35,1033.5
acs-blb,5,4,52,28,15.0,10,89,75
acs-cntr315,24,15,130,82,3.2,5,38,76.8
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,9,8,29,20,1.6,3,31,14.4
acs-gh18a,1,1,1,1,0.5,1,27,0.5
acs-gh18b,10,7,45,28,2.4,4,36,24
acs-gl1w,18,16,266,185,11.5,14,49,207
acs-hss6033,1,1,17,9,3.8,17,13,3.8
acs-manb114,2,2,2,2,0.0,1,0,0
acs-manb206,38,26,181,167,4.1,4,61,155.8
acs-may2326,1,1,1,1,1.1,1,67,1.1
acs-may4623,23,18,59,42,2.3,2,69,52.9
acs-osb10,1,1,7,5,1.0,7,8,1
acs-pch240,1,1,2,2,0.1,2,2,0.1
acs-pch264,21,8,170,103,4.3,8,32,90.3
acs-pch440,3,1,5,3,2.2,1,132,6.6
acs-raza,8,7,88,55,4.8,11,26,38.4
acs-rcl,1,1,105,84,10.5,105,5,10.5
acs-rh228,4,2,10,7,0.6,2,17,2.4
acs-rimac,3,3,74,58,9.0,24,22,27
acs-sungod,9,9,384,292,19.5,42,27,175.5
acs-va228,6,3,13,9,1.6,2,48,9.6
acs-vilb3w,2,2,142,106,7.8,71,6,15.6
acs-vilb4e,2,2,24,20,4.0,12,20,8
acs-york1310,1,1,1,1,0.1,1,5,0.1
