XP/Win7 usage for:  Sun Jul 27 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,192,51,894,473,4.1,4,60,787.2
acs-bml,5,3,26,16,7.1,5,85,35.5
acs-cntr315,1,1,1,1,2.4,1,143,2.4
acs-cpmc204,10,10,14,12,0.5,1,27,5
acs-gh18a,1,1,1,1,0.3,1,20,0.3
acs-glbw,18,8,140,75,10.2,7,87,183.6
acs-hh1155,1,1,2,2,0.1,2,2,0.1
acs-hss6033,1,1,15,6,1.0,15,3,1
acs-manb114,12,12,152,65,11.6,12,58,139.2
acs-manb206,25,8,86,34,2.6,3,52,65
acs-may2130,7,6,19,14,2.1,2,63,14.7
acs-may2306,6,6,19,17,1.6,3,31,9.6
acs-may2326,7,6,20,17,4.0,2,119,28
acs-mgh2116,1,1,1,1,0.0,1,1,0
acs-pch240,16,14,57,53,4.2,3,84,67.2
acs-pch264,20,10,81,44,6.9,4,103,138
acs-pch440,19,13,38,27,1.8,2,53,34.2
acs-raza,6,3,15,8,3.2,2,96,19.2
acs-rh228,1,1,1,1,0.0,1,2,0
acs-rimac,3,3,30,23,2.9,10,17,8.7
acs-sungod,8,7,108,75,4.0,13,18,32
acs-va228,2,1,7,2,2.0,3,39,4
acs-vilb3w,2,2,10,7,6.1,5,73,12.2
acs-vilb6e,2,2,27,22,5.4,13,24,10.8
acs-york1310,2,1,5,1,2.4,2,72,4.8
acs-york3070,16,15,19,17,1.5,1,89,24
