XP/Win7 usage for:  Sun Jul  6 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,230,97,1281,465,7.0,5,83,1610
acs-bml,5,3,27,17,7.5,5,90,37.5
acs-cntr315,25,25,303,29,21.1,12,105,527.5
acs-cpmc204,10,10,18,3,2.8,1,168,28
acs-gh18a,4,4,5,2,10.0,1,600,40
acs-gh18b,1,1,1,1,0.2,1,13,0.2
acs-glbw,18,8,121,63,9.2,6,91,165.6
acs-hh1155,1,1,1,1,0.2,1,13,0.2
acs-hss6033,1,1,4,4,0.7,4,10,0.7
acs-manb114,12,12,50,22,1.8,4,26,21.6
acs-manb206,38,33,171,59,4.0,4,59,152
acs-may2110,1,1,1,1,0.3,1,19,0.3
acs-may2130,7,5,17,15,1.3,2,38,9.1
acs-may2306,6,6,33,28,6.7,5,80,40.2
acs-mgh2116,1,1,1,1,1.4,1,84,1.4
acs-osb10,1,1,2,2,0.1,2,3,0.1
acs-pch240,11,8,14,12,0.9,1,55,9.9
acs-pch264,20,5,95,44,4.6,4,69,92
acs-pch440,38,28,243,72,9.9,6,98,376.2
acs-raza,3,2,15,11,0.6,5,7,1.8
acs-rh228,3,1,4,3,0.8,1,48,2.4
acs-rimac,3,3,34,29,1.8,11,10,5.4
acs-sungod,9,7,76,62,3.5,8,26,31.5
acs-va228,3,2,16,3,1.8,5,21,5.4
acs-vilb6e,2,2,18,13,2.8,9,18,5.6
acs-york1310,4,1,8,3,1.2,2,34,4.8
acs-york3060,2,2,2,2,0.1,1,4,0.2
acs-york3070,1,1,1,1,2.4,1,145,2.4
