XP/Win7 usage for:  Sun Jun  1 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,374,139,4291,2445,7.3,11,39,2730.2
acs-bml,5,5,88,47,22.7,17,80,113.5
acs-cntr315,25,18,287,170,7.2,11,39,180
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,8,4,21,11,10.3,2,309,82.4
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh145,1,1,6,2,1.8,6,17,1.8
acs-gh18b,12,7,66,39,2.1,5,25,25.2
acs-glbw,18,18,545,337,36.8,30,73,662.4
acs-hss6033,1,1,12,9,1.1,12,5,1.1
acs-manb114,12,12,290,160,22.9,24,57,274.8
acs-manb206,38,19,247,117,4.9,6,49,186.2
acs-may2110,5,3,11,8,1.6,2,49,8
acs-may2130,4,2,15,8,1.8,3,35,7.2
acs-may2306,8,8,76,71,6.3,9,42,50.4
acs-may2326,6,6,57,54,6.7,9,44,40.2
acs-may4623,23,6,63,21,2.1,2,62,48.3
acs-mgh2116,1,1,1,1,0.4,1,26,0.4
acs-osb10,1,1,9,8,1.9,9,12,1.9
acs-pch240,16,15,130,97,5.6,8,42,89.6
acs-pch264,24,16,447,230,19.0,18,63,456
acs-pch440,42,42,181,99,1.9,4,28,79.8
acs-raza,8,7,99,48,7.3,12,36,58.4
acs-rcl,1,1,217,171,24.4,217,6,24.4
acs-rh228,4,3,22,7,7.5,5,89,30
acs-rimac,3,3,121,96,18.6,40,27,55.8
acs-sungod,9,9,482,360,19.0,53,21,171
acs-va228,19,6,55,35,3.8,2,113,72.2
acs-vilb3w,2,2,183,134,20.2,91,13,40.4
acs-vilb6e,2,2,220,173,14.3,110,7,28.6
acs-york1310,22,20,63,31,3.5,2,104,77
acs-york3060,24,24,88,76,2.2,3,44,52.8
acs-york3070,28,26,187,153,4.4,6,44,123.2
