XP/Win7 usage for:  Sun Jun 14 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,94,30,287,159,3.7,3,73,347.8
acs-blb,5,2,15,11,3.6,3,71,18
acs-gh18b,1,1,1,1,0.5,1,29,0.5
acs-gl1w,9,2,17,11,1.3,1,79,11.7
acs-hh1155,1,1,1,1,0.0,1,2,0
acs-hss6033,1,1,2,2,0.0,2,1,0
acs-manb114,5,4,6,5,0.3,1,18,1.5
acs-manb206,1,1,1,1,0.4,1,24,0.4
acs-may2306,1,1,1,1,1.9,1,113,1.9
acs-may4623,1,1,1,1,0.6,1,33,0.6
acs-mgh2116,1,1,1,1,0.1,1,3,0.1
acs-osb10,1,1,1,1,0.4,1,22,0.4
acs-pch240,1,1,1,1,0.3,1,21,0.3
acs-pch264,6,2,14,12,0.3,2,9,1.8
acs-pch440,36,27,163,78,9.6,4,144,345.6
acs-raza,2,1,2,2,0.0,1,0,0
acs-rcl,1,1,2,2,0.1,2,2,0.1
acs-rimac,3,2,17,13,2.4,5,29,7.2
acs-sungod,7,2,18,13,3.6,2,109,25.2
acs-va228,5,2,12,5,2.2,2,66,11
acs-vilb3w,1,1,1,1,0.0,1,2,0
acs-york1310,4,2,9,3,5.3,2,160,21.2
acs-york3070,1,1,1,1,0.3,1,21,0.3
