XP/Win7 usage for:  Sun Mar  1 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,341,146,3892,2352,7.1,11,38,2421.1
acs-blb,5,4,46,28,12.8,9,85,64
acs-cntr315,24,20,263,198,7.0,10,41,168
acs-cpmc201,1,1,2,2,0.2,2,5,0.2
acs-cpmc204,10,8,78,30,4.4,7,37,44
acs-cpmc205,1,1,3,2,20.1,3,401,20.1
acs-cpmc207,1,1,3,2,20.1,3,401,20.1
acs-gh18a,3,3,3,3,1.0,1,60,3
acs-gh18b,10,5,41,26,2.1,4,30,21
acs-gl1w,18,17,308,189,21.2,17,74,381.6
acs-hss6033,1,1,7,5,0.9,7,8,0.9
acs-manb114,12,12,217,122,13.0,18,43,156
acs-manb206,38,26,257,184,7.3,6,72,277.4
acs-may2110,8,7,47,35,7.0,5,83,56
acs-may2130,8,7,83,81,10.7,10,64,85.6
acs-may2306,6,3,10,9,0.5,1,28,3
acs-may2326,7,6,83,83,13.0,11,71,91
acs-may4623,23,9,70,30,4.6,3,92,105.8
acs-osb10,1,1,2,1,0.1,2,4,0.1
acs-pch240,18,16,313,261,10.7,17,37,192.6
acs-pch264,24,17,350,216,13.8,14,58,331.2
acs-pch440,2,2,3,3,2.9,1,175,5.8
acs-raza,8,8,143,84,10.7,17,37,85.6
acs-rcl,1,1,149,117,12.5,149,5,12.5
acs-rh228,4,2,9,7,2.0,2,58,8
acs-rimac,3,3,107,90,19.0,35,32,57
acs-sungod,9,9,394,290,18.8,43,26,169.2
acs-va228,17,5,66,32,2.1,3,41,35.7
acs-vilb3w,2,2,233,162,9.5,116,4,19
acs-vilb4e,2,2,91,62,6.3,45,8,12.6
acs-york1310,22,22,28,23,0.7,1,42,15.4
acs-york3060,24,23,194,134,6.9,8,51,165.6
acs-york3070,28,26,289,183,8.0,10,48,224
