XP/Win7 usage for:  Sun Mar 29 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,231,70,1841,1146,3.9,7,33,900.9
acs-blb,5,4,43,28,12.7,8,95,63.5
acs-cntr315,23,9,122,66,3.0,5,35,69
acs-cpmc204,5,2,16,9,2.0,3,39,10
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18a,1,1,2,1,0.2,2,7,0.2
acs-gh18b,10,8,38,25,2.6,3,52,26
acs-gl1w,17,13,235,144,9.8,13,45,166.6
acs-hss6033,1,1,9,5,15.3,9,102,15.3
acs-manb206,35,23,45,43,0.6,1,36,21
acs-may2110,2,1,5,2,0.7,2,21,1.4
acs-may2130,1,1,2,1,0.2,2,6,0.2
acs-may2306,2,1,4,3,1.9,2,56,3.8
acs-may2326,4,1,9,7,0.9,2,25,3.6
acs-may4623,22,16,56,38,2.1,2,62,46.2
acs-mgh2116,1,1,3,3,0.1,3,1,0.1
acs-osb10,1,1,1,1,0.0,1,1,0
acs-pch240,2,2,6,2,7.1,3,142,14.2
acs-pch264,22,9,232,129,5.4,10,32,118.8
acs-pch440,8,3,18,6,8.2,2,246,65.6
acs-raza,8,6,79,53,4.9,9,32,39.2
acs-rcl,1,1,141,111,15.1,141,6,15.1
acs-rh228,2,1,3,3,0.1,1,4,0.2
acs-rimac,3,3,69,54,9.4,23,24,28.2
acs-sungod,9,9,411,310,18.2,45,24,163.8
acs-va228,18,13,58,28,1.4,3,27,25.2
acs-vilb3w,2,2,118,95,4.8,59,4,9.6
acs-vilb4e,2,2,39,25,3.0,19,9,6
acs-york1310,23,23,76,41,6.7,3,133,154.1
