XP/Win7 usage for:  Sat Mar  7 23:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,330,123,3931,2362,7.8,11,42,2574
acs-blb,5,5,87,60,24.6,17,86,123
acs-cntr315,24,16,284,174,5.5,11,30,132
acs-cpmc201,1,0,0,0,0.0,0,0,0
acs-cpmc204,9,4,60,24,4.8,6,47,43.2
acs-gh145,1,1,2,2,0.0,2,0,0
acs-gh18a,1,1,1,1,0.1,1,8,0.1
acs-gh18b,10,5,56,35,1.6,5,19,16
acs-gl1w,18,18,484,303,35.8,26,82,644.4
acs-hh1155,1,1,3,2,1.8,3,35,1.8
acs-hss6033,1,1,15,9,1.4,15,5,1.4
acs-manb114,12,12,263,155,19.1,21,54,229.2
acs-manb206,36,13,157,103,5.0,4,75,180
acs-may2110,4,3,8,6,1.2,2,37,4.8
acs-may2130,7,7,80,77,9.0,11,48,63
acs-may2306,8,6,57,56,3.6,7,31,28.8
acs-may2326,6,6,61,61,12.4,10,74,74.4
acs-may4623,21,9,105,33,8.9,5,106,186.9
acs-osb10,1,1,3,3,0.2,3,4,0.2
acs-pch240,18,17,298,241,10.1,16,37,181.8
acs-pch264,24,13,392,201,15.4,16,57,369.6
acs-pch440,41,40,56,47,0.4,1,22,16.4
acs-raza,8,7,105,61,6.4,13,29,51.2
acs-rcl,1,1,253,204,18.1,253,4,18.1
acs-rh228,5,4,26,11,4.1,5,48,20.5
acs-rimac,3,3,141,106,19.5,47,24,58.5
acs-sungod,9,9,451,332,24.1,50,28,216.9
acs-va228,17,5,72,34,5.6,4,84,95.2
acs-vilb3w,2,2,262,191,13.0,131,5,26
acs-vilb4e,2,2,99,67,10.5,49,12,21
acs-york1310,17,16,24,22,1.7,1,101,28.9
acs-york3060,7,3,8,5,1.2,1,72,8.4
acs-york3070,10,5,18,12,2.7,1,159,27
