XP/Win7 usage for:  Sun May 25 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,317,114,2910,1885,5.7,9,37,1806.9
acs-bml,5,5,53,33,14.7,10,88,73.5
acs-cntr315,25,23,280,208,5.5,11,30,137.5
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,9,2,27,14,1.5,3,29,13.5
acs-cpmc207,1,1,3,1,20.3,3,406,20.3
acs-gh145,1,1,6,3,6.0,6,59,6
acs-gh18b,9,4,38,25,1.3,4,19,11.7
acs-glbw,18,17,310,202,20.0,17,70,360
acs-hss6033,1,1,12,10,2.8,12,14,2.8
acs-manb114,12,7,91,54,8.7,7,74,104.4
acs-manb206,38,22,222,150,5.0,5,59,190
acs-may2110,8,7,104,86,10.2,13,46,81.6
acs-may2130,7,7,82,70,9.4,11,51,65.8
acs-may2306,4,2,7,7,1.2,1,73,4.8
acs-may2326,7,7,62,61,8.6,8,64,60.2
acs-may4623,9,4,19,8,3.1,2,93,27.9
acs-mgh2116,1,1,1,1,0.5,1,31,0.5
acs-osb10,1,1,3,2,0.3,3,6,0.3
acs-pch240,16,14,77,72,3.0,4,44,48
acs-pch264,24,11,310,168,10.8,12,53,259.2
acs-pch440,8,3,11,9,0.2,1,13,1.6
acs-raza,7,4,37,21,2.8,5,34,19.6
acs-rcl,1,1,159,131,11.6,159,4,11.6
acs-rh228,5,4,18,11,1.6,3,32,8
acs-rimac,3,3,92,81,5.9,30,11,17.7
acs-sungod,9,9,353,282,17.8,39,27,160.2
acs-va228,16,4,45,24,2.0,2,59,32
acs-vilb3w,2,2,109,77,9.4,54,10,18.8
acs-vilb6e,2,2,125,103,4.8,62,4,9.6
acs-york1310,15,5,39,19,1.5,2,44,22.5
acs-york3060,24,21,88,77,3.2,3,63,76.8
acs-york3070,28,23,126,106,4.3,4,63,120.4
