XP/Win7 usage for:  Sun May  3 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,305,106,2882,1933,5.2,9,34,1586
acs-blb,5,5,52,33,14.7,10,88,73.5
acs-cntr315,24,11,195,114,5.6,8,42,134.4
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,6,3,27,11,1.9,4,28,11.4
acs-gh145,1,1,4,1,1.1,4,17,1.1
acs-gh18b,11,5,42,28,2.0,3,40,22
acs-gl1w,18,18,321,219,19.9,17,70,358.2
acs-hh1155,1,1,1,1,0.2,1,14,0.2
acs-hss6033,1,1,11,8,1.0,11,5,1
acs-manb114,10,4,64,40,5.8,6,57,58
acs-manb206,37,20,193,148,4.3,5,51,159.1
acs-may2110,2,1,5,3,3.0,2,89,6
acs-may2130,2,1,4,2,1.0,2,31,2
acs-may2306,8,7,71,66,9.0,8,67,72
acs-may2326,8,8,79,74,8.3,9,55,66.4
acs-may4623,17,7,31,18,2.0,1,120,34
acs-mgh2116,1,1,1,1,0.2,1,10,0.2
acs-osb10,1,1,4,2,0.8,4,11,0.8
acs-pch240,18,17,225,205,6.7,12,33,120.6
acs-pch264,23,11,316,190,9.6,13,44,220.8
acs-pch440,2,2,2,2,1.4,1,83,2.8
acs-raza,8,5,66,47,5.9,8,44,47.2
acs-rcl,1,1,183,151,10.7,183,3,10.7
acs-rh228,4,3,14,7,3.5,3,69,14
acs-rimac,3,3,102,84,13.8,34,24,41.4
acs-sungod,9,9,410,313,16.6,45,22,149.4
acs-va228,13,7,48,26,6.8,3,136,88.4
acs-vilb3w,2,2,137,110,5.8,68,5,11.6
acs-vilb4e,2,2,82,58,3.2,41,4,6.4
acs-york1310,21,19,44,27,5.2,2,155,109.2
acs-york3060,18,12,33,32,1.6,1,94,28.8
acs-york3070,27,27,114,97,3.6,4,53,97.2
