XP/Win7 usage for:  Sun Nov  2 01:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,338,140,3068,2065,6.3,9,42,2129.4
acs-blb,5,5,58,40,12.2,11,66,61
acs-cntr315,25,24,207,140,5.3,8,40,132.5
acs-cpmc204,9,4,15,5,0.3,1,18,2.7
acs-cpmc205,1,0,0,0,0.0,0,0,0
acs-cpmc206,1,1,2,2,0.1,2,2,0.1
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18a,2,1,6,1,3.1,3,61,6.2
acs-gh18b,12,9,50,28,2.2,4,33,26.4
acs-gl1w,18,18,468,314,25.5,26,58,459
acs-hh1155,1,1,1,1,2.1,1,128,2.1
acs-hss6033,1,1,17,10,2.5,17,8,2.5
acs-manb114,8,3,25,13,2.0,3,40,16
acs-manb206,38,25,243,182,5.9,6,58,224.2
acs-may2130,7,7,45,45,5.9,6,59,41.3
acs-may2306,7,7,102,99,16.8,14,71,117.6
acs-may2326,8,7,98,97,14.8,12,73,118.4
acs-may4623,24,22,102,50,7.6,4,113,182.4
acs-mgh2116,1,1,1,1,0.1,1,5,0.1
acs-osb10,1,1,2,2,0.2,2,5,0.2
acs-pch240,12,9,26,24,0.7,2,21,8.4
acs-pch264,24,17,334,192,9.1,13,41,218.4
acs-pch440,20,19,28,22,1.7,1,102,34
acs-raza,8,6,89,54,6.2,11,34,49.6
acs-rcl,1,1,134,108,14.4,134,6,14.4
acs-rh228,3,2,10,5,1.9,3,38,5.7
acs-rimac,3,3,77,62,8.8,25,21,26.4
acs-sungod,9,9,482,370,25.7,53,29,231.3
acs-va228,11,3,31,13,2.1,2,63,23.1
acs-vilb3w,2,2,212,171,9.7,106,5,19.4
acs-vilb4e,2,2,2,1,0.2,1,12,0.4
acs-vilb6e,2,1,4,3,0.3,2,8,0.6
acs-york1310,19,14,53,23,3.6,2,108,68.4
acs-york3060,24,22,71,66,1.6,2,49,38.4
acs-york3070,28,23,72,70,1.6,2,48,44.8
