XP/Win7 usage for:  Sun Nov 23 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,239,71,1288,940,3.6,5,43,860.4
acs-blb,5,4,23,18,6.6,4,99,33
acs-cntr315,23,7,75,56,2.6,3,51,59.8
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,4,3,8,4,1.6,2,47,6.4
acs-gh18a,1,1,4,2,0.8,4,11,0.8
acs-gh18b,8,4,26,17,2.1,3,42,16.8
acs-gl1w,18,18,196,151,10.6,10,63,190.8
acs-hss6033,1,1,9,2,17.1,9,114,17.1
acs-manb114,11,7,55,48,1.9,5,22,20.9
acs-manb206,36,19,116,90,3.0,3,59,108
acs-may2110,6,6,9,9,5.8,1,350,34.8
acs-may2306,1,1,1,1,7.2,1,433,7.2
acs-may4623,8,3,14,7,2.7,1,162,21.6
acs-pch240,2,2,3,2,1.7,1,100,3.4
acs-pch264,23,11,163,113,6.3,7,54,144.9
acs-pch440,26,26,28,27,0.3,1,19,7.8
acs-raza,8,3,30,25,2.0,3,40,16
acs-rcl,1,1,97,76,10.6,97,6,10.6
acs-rh228,3,2,6,3,0.3,2,10,0.9
acs-rimac,2,2,42,36,4.0,21,11,8
acs-sungod,9,9,200,160,11.2,22,30,100.8
acs-va228,17,11,39,28,2.3,2,67,39.1
acs-vilb3w,2,2,89,73,3.8,44,5,7.6
acs-vilb4e,2,2,17,14,0.8,8,6,1.6
acs-york1310,17,17,31,21,2.7,1,163,45.9
acs-york3060,1,1,1,1,5.0,1,298,5
acs-york3070,3,2,5,3,0.7,1,42,2.1
