XP/Win7 usage for:  Sun Oct 26 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,348,139,3429,2026,6.9,9,46,2401.2
acs-blb,5,4,56,39,12.2,11,66,61
acs-cntr315,25,23,209,142,4.3,8,31,107.5
acs-cpmc204,4,2,4,4,0.2,1,13,0.8
acs-cpmc205,1,1,1,1,0.0,1,0,0
acs-cpmc207,1,1,6,1,4.0,6,40,4
acs-gh18a,1,1,3,1,2.2,3,44,2.2
acs-gh18b,11,5,52,31,2.2,4,32,24.2
acs-gl1w,18,18,469,290,25.6,26,59,460.8
acs-hh1155,1,1,1,1,0.4,1,22,0.4
acs-hss6033,1,1,18,8,2.0,18,6,2
acs-manb114,12,12,252,133,8.4,21,23,100.8
acs-manb206,38,27,334,224,9.1,8,67,345.8
acs-may2110,8,6,43,43,3.7,5,44,29.6
acs-may2130,1,1,1,1,1.4,1,87,1.4
acs-may2306,7,6,87,85,12.0,12,60,84
acs-may2326,8,8,92,90,10.4,11,56,83.2
acs-may4623,25,21,127,54,10.6,5,126,265
acs-mgh2116,1,1,1,1,1.3,1,78,1.3
acs-osb10,1,1,4,4,0.6,4,9,0.6
acs-pch240,17,16,31,27,0.6,1,35,10.2
acs-pch264,24,12,282,149,7.2,11,39,172.8
acs-pch440,22,15,40,12,2.6,1,155,57.2
acs-raza,8,5,79,51,4.1,9,27,32.8
acs-rcl,1,1,146,117,19.5,146,8,19.5
acs-rh228,4,3,9,6,2.0,2,59,8
acs-rimac,3,3,94,77,6.7,31,12,20.1
acs-sungod,9,9,424,315,24.9,47,31,224.1
acs-va228,17,6,51,25,2.3,3,46,39.1
acs-vilb3w,2,2,259,179,12.6,129,5,25.2
acs-york1310,20,19,73,25,5.1,3,102,102
acs-york3060,24,23,96,94,3.9,4,58,93.6
acs-york3070,28,21,85,75,3.3,3,65,92.4
