XP/Win7 usage for:  Sun Oct  5 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,225,77,2400,1574,5.2,10,31,1170
acs-blb,5,3,45,21,9.1,9,60,45.5
acs-cntr315,25,25,151,114,3.3,6,33,82.5
acs-cpmc201,1,1,2,2,2.5,2,74,2.5
acs-cpmc204,2,1,3,2,0.1,1,3,0.2
acs-gh145,1,1,3,2,0.1,3,1,0.1
acs-gh18a,4,2,15,6,2.9,3,57,11.6
acs-gh18b,11,3,37,18,0.8,3,16,8.8
acs-gl1w,18,18,483,338,13.3,26,30,239.4
acs-hss6033,1,1,17,11,4.0,17,14,4
acs-manb114,2,2,6,4,0.7,3,14,1.4
acs-manb206,38,25,232,207,5.1,6,51,193.8
acs-may2110,1,1,1,1,1.0,1,60,1
acs-may2130,2,1,2,2,0.0,1,1,0
acs-may2326,2,2,2,1,0.1,1,3,0.2
acs-may4623,24,24,168,74,11.4,7,97,273.6
acs-osb10,1,1,5,3,1.1,5,12,1.1
acs-pch240,6,6,12,11,1.1,2,32,6.6
acs-pch264,23,11,218,131,5.3,9,35,121.9
acs-pch440,1,1,1,1,0.8,1,48,0.8
acs-raza,8,4,59,36,1.8,7,15,14.4
acs-rcl,1,1,101,82,14.5,101,8,14.5
acs-rh228,4,2,10,9,0.9,2,27,3.6
acs-rimac,3,3,61,52,4.0,20,12,12
acs-sungod,9,9,483,336,17.5,53,19,157.5
acs-va228,20,20,54,46,3.2,2,95,64
acs-vilb3w,2,2,214,153,11.9,107,6,23.8
acs-york1310,10,9,15,9,2.7,1,161,27
