XP/Win7 usage for:  Sun Sep 28 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,174,49,1042,705,2.4,5,28,417.6
acs-blb,5,4,33,22,7.4,6,73,37
acs-cntr315,15,5,42,29,0.8,2,24,12
acs-cpmc201,1,1,3,2,0.1,3,1,0.1
acs-cpmc204,1,1,3,2,0.1,3,1,0.1
acs-cpmc205,1,1,2,2,0.2,2,7,0.2
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh145,1,1,5,1,2.0,5,24,2
acs-gh18a,4,3,8,4,0.8,2,22,3.2
acs-gh18b,10,5,26,18,0.9,2,26,9
acs-gl1w,18,8,145,100,1.9,8,14,34.2
acs-hh1155,1,1,1,1,0.8,1,51,0.8
acs-hss6033,1,1,14,9,3.1,14,13,3.1
acs-manb114,1,1,3,1,2.9,3,58,2.9
acs-manb206,2,1,2,2,1.1,1,69,2.2
acs-may2130,5,2,5,3,0.0,1,1,0
acs-may2306,3,1,3,1,0.0,1,0,0
acs-may2326,1,1,1,1,0.4,1,24,0.4
acs-may4623,24,24,89,77,4.3,3,85,103.2
acs-osb10,1,1,4,1,3.3,4,49,3.3
acs-pch240,16,11,27,19,1.7,1,100,27.2
acs-pch264,17,6,71,48,2.2,4,32,37.4
acs-pch440,10,9,11,9,1.9,1,116,19
acs-raza,8,4,42,32,0.4,5,5,3.2
acs-rcl,1,1,63,53,9.6,63,9,9.6
acs-rh228,2,2,3,3,0.4,1,26,0.8
acs-rimac,3,2,41,34,2.9,13,13,8.7
acs-sungod,9,9,292,201,6.5,32,12,58.5
acs-va228,4,2,10,4,1.7,2,50,6.8
acs-vilb3w,2,2,77,67,4.1,38,6,8.2
acs-vilb6e,1,1,2,2,0.1,2,2,0.1
acs-york1310,1,1,4,2,0.3,4,4,0.3
acs-york3070,4,2,9,4,0.1,2,1,0.4
