XP/Win7 usage for:  Sun Sep  7 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,89,35,283,120,3.2,3,63,284.8
acs-blb,5,4,40,17,12.0,8,90,60
acs-cntr315,1,1,1,1,0.0,1,2,0
acs-cpmc204,1,1,1,1,0.0,1,2,0
acs-gh18b,2,1,2,1,0.1,1,3,0.2
acs-gl1w,18,5,84,34,0.9,4,14,16.2
acs-hss6033,1,1,4,1,0.5,4,7,0.5
acs-manb114,4,1,6,2,1.3,1,79,5.2
acs-manb206,2,1,8,2,6.6,4,98,13.2
acs-may2306,2,2,2,1,0.0,1,0,0
acs-may2326,1,1,1,1,0.1,1,3,0.1
acs-may4623,1,1,1,1,0.0,1,1,0
acs-osb10,1,1,1,1,0.1,1,6,0.1
acs-pch264,4,2,7,6,0.5,1,28,2
acs-pch440,28,26,62,26,3.9,2,117,109.2
acs-raza,3,2,8,5,0.2,2,5,0.6
acs-rh228,2,1,5,2,1.5,2,45,3
acs-rimac,3,2,22,17,2.3,7,19,6.9
acs-va228,4,2,18,3,2.6,4,39,10.4
acs-vilb6e,2,2,6,5,3.1,3,61,6.2
acs-york1310,4,2,4,4,0.9,1,56,3.6
