XP/Win7 usage for:  Sun Apr 19 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,87,72,3719,1455,26.2,42,37,2279.4
ALL-XP,1084,512,24564,8188,12.8,22,35,13875.2
acms-ga,87,72,3719,1455,26.2,42,37,2279.4
acs-apm3402,28,26,109,85,3.2,3,63,89.6
acs-apm3432,41,22,586,424,3.8,14,16,155.8
acs-b349,28,24,525,276,16.8,18,56,470.4
acs-bh1309,1,1,2,1,0.2,2,5,0.2
acs-bh1413,1,1,1,1,0.3,1,16,0.3
acs-ccc,3,3,79,52,0.0,26,0,0
acs-courtrm,7,6,244,108,20.1,34,35,140.7
acs-csb115,30,29,156,106,3.5,5,42,105
acs-cseb220,29,15,152,29,14.3,5,171,414.7
acs-ebu2-127,2,2,22,17,5.0,11,27,10
acs-ebu2-131,2,2,7,7,3.3,3,65,6.6
acs-ebu2-203,32,30,667,318,21.8,20,65,697.6
acs-ebu2-205,26,16,397,219,11.1,15,44,288.6
acs-ebu2-239,31,13,639,255,4.1,20,12,127.1
acs-ebu2-311,6,6,15,6,3.9,2,116,23.4
acs-ebu2-312,1,1,5,2,7.8,5,93,7.8
acs-ebu2-315,5,4,43,33,1.4,8,10,7
acs-ebu2-328,1,1,14,4,24.7,14,106,24.7
acs-ebu2-330,16,16,140,118,14.4,8,107,230.4
acs-ebu2-333,3,3,27,14,33.4,9,222,100.2
acs-ebu2-335,13,13,117,104,18.1,9,120,235.3
acs-ebu2-339,2,2,10,6,9.9,5,118,19.8
acs-ebu2-b035,2,2,32,15,21.4,16,80,42.8
acs-ebu3a108,9,9,87,57,4.3,9,28,38.7
acs-ebu3a161,27,21,118,79,2.2,4,32,59.4
acs-econ100,20,17,452,246,13.2,22,35,264
acs-econ304,17,12,261,58,11.3,15,45,192.1
acs-erc117,30,29,815,363,11.4,27,25,342
acs-gl1al,25,24,721,395,19.5,28,41,487.5
acs-gl1t,47,36,1303,645,15.8,27,35,742.6
acs-gl1w,54,46,1363,684,23.1,25,55,1247.4
acs-gl2w,55,48,2472,1276,23.5,44,32,1292.5
acs-hh1155,1,1,1,1,0.4,1,24,0.4
acs-hss6033,2,2,25,15,2.7,12,13,5.4
acs-irps,10,8,179,87,5.3,17,18,53
acs-may2544,15,14,171,149,17.9,11,97,268.5
acs-may2574,1,1,1,1,10.0,1,600,10
acs-may2722,6,6,82,63,3.0,13,13,18
acs-may3229,1,1,1,1,3.0,1,178,3
acs-may3543,1,1,6,4,0.5,6,4,0.5
acs-may3544,7,6,41,22,11.0,5,131,77
acs-may3574,9,9,43,28,10.6,4,158,95.4
acs-moms,3,3,352,235,0.0,117,0,0
acs-nsb1103a,2,1,2,2,0.0,1,0,0
acs-nsb1313a,5,5,11,1,17.9,2,535,89.5
acs-nsb2303,37,15,200,94,3.5,5,42,129.5
acs-nsb2311,1,1,1,1,10.0,1,600,10
acs-nsb2319,2,2,3,2,1.3,1,79,2.6
acs-osb10,1,1,5,5,3.1,5,37,3.1
acs-pch104,8,5,170,67,0.0,21,0,0
acs-rcl,1,1,219,175,0.0,219,0,0
acs-rh228,1,1,7,3,7.1,7,60,7.1
acs-rimac,3,3,141,110,21.9,47,27,65.7
acs-seq142,25,22,390,227,6.4,15,25,160
acs-sme143,49,46,1125,339,23.8,22,64,1166.2
acs-sme320,1,1,1,1,0.1,1,3,0.1
acs-sungod,9,9,668,409,25.9,74,20,233.1
acs-treetop,13,13,1097,373,7.7,84,5,100.1
acs-triton,28,28,2466,1337,23.7,88,16,663.6
acs-usrsrvs,1,1,6,4,0.1,6,0,0.1
acs-va228,4,3,13,3,0.3,3,5,1.2
acs-va231,2,1,3,3,0.2,1,10,0.4
acs-vilb3w,1,1,118,98,10.3,118,5,10.3
acs-vilb4e,4,4,254,152,10.2,63,9,40.8
acs-wlh2211,14,14,271,193,27.5,19,86,385
acs-wlh2212,20,12,85,43,7.2,4,108,144
acs-wlh2213a,15,15,103,92,9.3,6,93,139.5
acs-wlh2214,5,5,148,84,31.3,29,64,156.5
acs-wlh2215,15,14,149,118,13.8,9,92,207
acs-wlh2216,5,5,79,37,22.8,15,91,114
acs-wlh2217a,10,6,36,18,6.2,3,124,62
acs-wlh2217c,5,5,99,75,26.4,19,83,132
acs-yh1146,1,1,1,1,10.0,1,600,10
acs-yh1344,4,2,8,3,8.7,2,261,34.8
acs-yh2310,1,1,13,7,26.4,13,121,26.4
acs-yh2332,1,1,10,5,24.1,10,144,24.1
acs-yh2410,7,7,156,51,31.0,22,84,217
acs-yh2432,7,7,123,45,28.5,17,100,199.5
acs-yh3020,23,10,142,44,9.0,6,90,207
acs-yh3136,1,1,7,4,1.0,7,8,1
acs-yh4124,15,13,32,21,2.4,2,70,36
