XP/Win7 usage for:  Sun Apr  5 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,100,80,4081,1633,22.4,40,33,2240
ALL-XP,1058,463,22008,8046,10.7,20,32,11320.6
acms-ga,98,80,4079,1631,22.8,41,33,2234.4
acms-mae,2,1,2,2,0.4,1,23,0.8
acs-apm3402,24,14,70,47,2.2,2,65,52.8
acs-apm3432,42,20,378,220,3.0,9,20,126
acs-b349,28,26,601,362,13.6,21,38,380.8
acs-ccc,3,2,96,54,0.1,32,0,0.3
acs-courtrm,7,4,105,52,11.5,15,46,80.5
acs-csb115,30,23,137,99,2.7,4,40,81
acs-cseb220,28,13,161,25,13.8,5,165,386.4
acs-ebu2-121,1,1,1,1,0.0,1,1,0
acs-ebu2-127,2,2,9,6,1.7,4,25,3.4
acs-ebu2-131,1,1,2,1,0.5,2,14,0.5
acs-ebu2-203,33,25,496,292,13.2,15,52,435.6
acs-ebu2-205,25,15,303,178,8.4,12,41,210
acs-ebu2-239,32,23,498,252,11.2,15,44,358.4
acs-ebu2-312,1,1,2,2,2.5,2,74,2.5
acs-ebu2-315,6,6,75,36,1.3,12,6,7.8
acs-ebu2-328,2,2,9,4,14.1,4,211,28.2
acs-ebu2-330,16,16,133,117,13.5,8,101,216
acs-ebu2-333,3,3,28,15,3.5,9,23,10.5
acs-ebu2-335,13,13,140,107,11.6,10,69,150.8
acs-ebu2-339,1,1,4,3,23.0,4,344,23
acs-ebu2-b035,2,2,14,8,6.8,7,58,13.6
acs-ebu3a108,9,9,59,50,10.5,6,104,94.5
acs-ebu3a161,22,7,97,63,2.9,4,43,63.8
acs-econ100,20,18,287,154,11.1,14,47,222
acs-econ304,14,11,137,42,13.5,9,90,189
acs-erc117,30,24,626,312,8.3,20,24,249
acs-gl1al,25,18,653,364,12.8,26,29,320
acs-gl1t,47,35,1101,559,12.7,23,33,596.9
acs-gl1w,54,43,1118,576,16.6,20,49,896.4
acs-gl2w,55,46,2485,1349,23.8,45,31,1309
acs-hss6033,2,2,32,21,1.7,16,6,3.4
acs-irps,10,8,233,97,4.6,23,11,46
acs-may2544,15,15,182,169,19.9,12,99,298.5
acs-may2722,6,4,43,30,0.8,7,7,4.8
acs-may3229,1,1,1,1,1.8,1,106,1.8
acs-may3543,1,1,5,4,4.5,5,53,4.5
acs-may3544,7,7,47,28,11.9,6,119,83.3
acs-may3574,9,9,50,29,16.9,5,202,152.1
acs-moms,3,2,339,213,0.0,113,0,0
acs-nsb1313a,3,3,4,1,10.0,1,600,30
acs-nsb2303,36,8,146,67,1.7,4,26,61.2
acs-nsb2319,2,2,3,2,2.3,1,135,4.6
acs-osb10,1,1,7,5,2.5,7,21,2.5
acs-pch104,8,6,125,64,0.1,15,0,0.8
acs-rcl,1,1,182,146,0.0,182,0,0
acs-rh228,1,1,8,4,11.0,8,82,11
acs-rimac,3,3,140,101,7.8,46,10,23.4
acs-seq142,26,11,253,156,4.5,9,29,117
acs-sme143,49,41,803,293,18.1,16,67,886.9
acs-sme320,1,1,5,4,0.1,5,1,0.1
acs-sungod,9,9,590,418,29.6,65,27,266.4
acs-treetop,13,13,553,312,19.8,42,28,257.4
acs-triton,28,24,2693,1401,20.1,96,12,562.8
acs-usrsrvs,1,1,10,8,0.1,10,0,0.1
acs-va228,1,1,2,2,0.1,2,4,0.1
acs-vilb3w,1,1,121,98,5.4,121,2,5.4
acs-vilb4e,4,4,241,130,3.1,60,3,12.4
acs-wlh2211,14,14,261,193,25.4,18,84,355.6
acs-wlh2212,6,2,12,7,2.0,2,61,12
acs-wlh2213a,15,15,105,89,11.4,7,97,171
acs-wlh2214,5,5,65,42,9.5,13,43,47.5
acs-wlh2215,15,15,129,113,10.8,8,80,162
acs-wlh2216,5,5,65,42,16.8,13,77,84
acs-wlh2217a,9,6,35,17,4.1,3,81,36.9
acs-wlh2217c,5,5,63,45,15.3,12,76,76.5
acs-yh1146,3,2,6,5,9.2,2,276,27.6
acs-yh1322,3,3,7,2,4.5,2,135,13.5
acs-yh1344,3,3,6,3,2.3,2,69,6.9
acs-yh2310,1,1,10,6,23.8,10,142,23.8
acs-yh2332,1,1,9,5,18.0,9,120,18
acs-yh2410,7,7,174,38,8.1,24,20,56.7
acs-yh2432,7,7,86,32,19.6,12,98,137.2
acs-yh3020,24,13,158,10,0.1,6,0,2.4
acs-yh3136,1,1,6,6,1.3,6,12,1.3
acs-yh4124,16,15,87,22,1.4,5,17,22.4
