XP/Win7 usage for:  Sun Aug 17 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,50,20,1030,307,9.4,20,28,470
ALL-XP,852,236,6521,2288,5.8,7,49,4941.6
acms-ga,50,20,1030,307,9.4,20,28,470
acs-apm3402,14,10,22,11,2.2,1,133,30.8
acs-apm3432,7,2,9,5,0.5,1,28,3.5
acs-b325,22,10,180,105,5.3,8,39,116.6
acs-bh1309,1,1,1,1,0.7,1,40,0.7
acs-bh1449,1,1,3,3,0.1,3,1,0.1
acs-bml,61,34,398,191,10.0,6,99,610
acs-bmlgl,4,4,32,20,9.2,8,69,36.8
acs-ccc,2,1,11,9,0.4,5,4,0.8
acs-csb115,5,2,7,3,0.2,1,10,1
acs-cseb220,24,6,85,44,6.0,3,119,144
acs-cseb250,38,14,176,69,6.9,4,103,262.2
acs-cseb260,39,25,253,109,8.1,6,81,315.9
acs-cseb270,41,9,132,65,5.5,3,110,225.5
acs-ebu2-131,1,0,0,0,0.0,0,0,0
acs-ebu2-203,32,25,114,62,2.7,3,53,86.4
acs-ebu2-205,18,8,37,22,4.5,2,133,81
acs-ebu2-239,20,15,39,18,2.9,1,172,58
acs-ebu2-312,2,2,4,3,3.7,2,110,7.4
acs-ebu2-328,2,2,3,2,10.1,1,605,20.2
acs-ebu2-330,1,1,5,1,21.2,5,254,21.2
acs-ebu2-333,2,2,2,2,0.7,1,39,1.4
acs-ebu3a161,8,2,12,7,0.3,1,20,2.4
acs-econ304,11,6,16,12,6.0,1,361,66
acs-gl1e,78,39,1003,465,10.2,12,50,795.6
acs-gl1w,58,47,963,467,14.0,16,52,812
acs-gl2095,13,6,54,28,6.4,4,95,83.2
acs-glb,44,16,274,148,4.6,6,45,202.4
acs-glbsw,25,17,183,99,9.0,7,77,225
acs-glbw,52,22,307,132,6.0,5,71,312
acs-hh1155,1,1,3,3,9.5,3,190,9.5
acs-hss6033,2,2,14,8,1.5,7,13,3
acs-irps,10,10,179,75,3.5,17,12,35
acs-may2544,15,14,134,64,11.1,8,82,166.5
acs-may2722,3,2,3,2,0.0,1,1,0
acs-may3544,4,1,7,3,0.1,1,3,0.4
acs-may3574,1,1,4,1,0.6,4,9,0.6
acs-mgh2116,1,1,1,1,0.1,1,9,0.1
acs-moms,1,1,1,1,0.1,1,6,0.1
acs-nsb2303,24,18,57,42,3.3,2,99,79.2
acs-osb10,1,1,10,4,7.8,10,47,7.8
acs-pch104,5,2,28,12,1.9,5,22,9.5
acs-rh228,1,1,6,3,6.3,6,62,6.3
acs-rimac,1,1,1,1,0.0,1,1,0
acs-seq142,2,1,2,1,2.4,1,146,4.8
acs-sme143,41,13,168,62,5.2,4,78,213.2
acs-ssb139,10,3,19,13,0.4,1,22,4
acs-treetop,12,8,153,95,7.0,12,34,84
acs-triton,22,16,236,178,1.5,10,8,33
acs-va228,1,1,1,1,0.4,1,26,0.4
acs-va231,1,1,2,1,0.5,2,13,0.5
acs-vilb3w,2,2,17,11,1.2,8,9,2.4
acs-vilb6e,4,4,99,50,5.8,24,14,23.2
acs-wlh2212,2,1,5,1,2.3,2,69,4.6
acs-wlh2213a,1,1,1,1,0.2,1,10,0.2
acs-wlh2216,1,1,1,1,2.5,1,147,2.5
acs-yh1150,1,1,1,1,0.0,1,1,0
acs-yh1344,2,1,2,1,0.2,1,11,0.4
acs-yh2332,1,1,6,1,18.4,6,183,18.4
acs-yh2410,1,1,1,1,0.1,1,3,0.1
acs-yh2432,1,1,1,1,0.2,1,15,0.2
acs-yh3020,1,0,3,1,0.0,3,0,0
