XP/Win7 usage for:  Sun Aug  3 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,36,13,740,295,7.3,20,21,262.8
ALL-XP,813,190,6131,2374,4.2,7,36,3414.6
acms-ga,36,13,740,295,7.3,20,21,262.8
acs-apm3402,12,12,24,12,3.5,2,104,42
acs-apm3432,18,9,25,20,0.3,1,20,5.4
acs-b325,21,7,145,104,2.6,6,26,54.6
acs-b432,6,2,6,6,0.4,1,21,2.4
acs-bml,65,21,417,204,7.7,6,77,500.5
acs-bmlgl,4,4,48,31,15.3,12,76,61.2
acs-ccc,2,1,17,9,0.7,8,5,1.4
acs-csb115,3,1,3,1,0.0,1,1,0
acs-cseb220,15,4,32,21,0.8,2,25,12
acs-cseb250,40,16,201,86,4.4,5,52,176
acs-cseb260,39,21,200,93,4.3,5,52,167.7
acs-cseb270,36,8,81,38,2.9,2,88,104.4
acs-ebu2-203,32,25,107,72,2.1,3,42,67.2
acs-ebu2-205,18,15,18,18,0.9,1,55,16.2
acs-ebu2-239,28,21,50,25,1.2,1,72,33.6
acs-ebu2-328,1,1,1,1,10.0,1,600,10
acs-ebu2-330,2,1,4,2,2.9,2,86,5.8
acs-ebu2-333,1,1,7,1,1.6,7,14,1.6
acs-ebu2-335,1,1,1,1,1.4,1,84,1.4
acs-ebu3a161,11,3,13,9,2.7,1,159,29.7
acs-econ100,1,1,1,1,5.0,1,298,5
acs-econ304,12,6,38,19,7.4,3,148,88.8
acs-erc117,4,1,6,5,0.3,1,17,1.2
acs-gl1e,76,42,834,425,6.6,10,39,501.6
acs-gl1w,56,37,997,471,12.5,17,43,700
acs-gl2095,9,3,18,12,2.0,2,61,18
acs-glb,44,13,187,119,3.6,4,53,158.4
acs-glbsw,25,9,140,70,5.5,5,65,137.5
acs-glbw,47,19,233,113,3.7,4,56,173.9
acs-hh1155,1,1,1,1,2.2,1,135,2.2
acs-hss6033,2,1,19,5,1.4,9,9,2.8
acs-irps,8,6,39,21,1.8,4,26,14.4
acs-may2544,15,15,146,72,5.2,9,34,78
acs-may2574,2,1,3,2,0.1,1,8,0.2
acs-moms,2,2,4,4,0.1,2,4,0.2
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb2303,9,3,15,9,1.3,1,80,11.7
acs-osb10,1,1,3,2,0.2,3,3,0.2
acs-pch104,6,2,28,17,0.3,4,4,1.8
acs-rh228,1,1,3,3,0.3,3,6,0.3
acs-rimac,3,3,24,18,1.5,8,10,4.5
acs-sme143,29,12,114,55,2.9,3,58,84.1
acs-ssb139,11,2,19,13,0.3,1,18,3.3
acs-treetop,13,11,150,97,6.0,11,32,78
acs-triton,28,21,836,522,5.1,29,10,142.8
acs-va231,2,2,13,6,20.6,6,206,41.2
acs-vilb3w,1,1,8,7,3.0,8,22,3
acs-vilb6e,4,4,95,48,5.1,23,13,20.4
acs-wlh2212,2,1,2,2,0.4,1,24,0.8
acs-yh1146,1,1,1,1,10.0,1,600,10
acs-yh1344,2,2,3,2,10.1,1,603,20.2
acs-yh2332,1,1,3,1,3.8,3,75,3.8
acs-yh2410,1,1,1,1,0.2,1,14,0.2
acs-yh2432,1,1,2,2,1.4,2,40,1.4
acs-yh3136,1,1,4,2,1.1,4,16,1.1
