XP/Win7 usage for:  Sun Dec 21 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,38,8,228,129,3.3,6,33,125.4
ALL-XP,316,34,871,289,0.5,2,14,158
acms-ga,38,8,228,129,3.3,6,33,125.4
acms-testvm,1,1,1,1,0.1,1,7,0.1
acs-b349,1,1,1,1,0.1,1,4,0.1
acs-bh1449,1,1,1,1,0.0,1,2,0
acs-csb115,1,1,2,2,0.1,2,1,0.1
acs-ebu2-203,4,1,6,4,0.4,1,21,1.6
acs-ebu2-239,2,1,2,1,0.0,1,0,0
acs-ebu3a161,1,1,1,1,0.1,1,7,0.1
acs-econ304,16,8,85,21,4.6,5,55,73.6
acs-erc117,1,1,2,1,0.0,2,1,0
acs-gl1al,23,10,26,2,0.1,1,3,2.3
acs-gl1t,46,10,67,6,0.1,1,3,4.6
acs-gl1w,52,8,130,4,0.0,2,1,0
acs-gl2w,55,14,158,45,0.5,2,14,27.5
acs-glbw,6,2,6,4,0.9,1,54,5.4
acs-hss6033,1,1,1,1,1.0,1,61,1
acs-irps,4,2,8,5,2.8,2,83,11.2
acs-may3543,1,1,4,1,0.2,4,3,0.2
acs-may3574,1,1,1,1,0.5,1,31,0.5
acs-nsb2303,1,1,2,1,0.0,2,0,0
acs-seq142,3,3,3,1,0.1,1,3,0.3
acs-sme143,9,2,11,6,0.7,1,40,6.3
acs-sungod,3,2,7,6,0.8,2,23,2.4
acs-treetop,2,1,4,3,0.5,2,15,1
acs-triton,19,6,61,44,0.8,3,16,15.2
acs-va231,1,1,2,1,0.0,2,0,0
acs-vilb3w,2,2,24,5,0.1,12,0,0.2
acs-vilb4e,3,2,7,3,0.2,2,6,0.6
acs-wlh2211,3,3,4,3,2.5,1,152,7.5
acs-yh1150,1,1,2,2,20.0,2,600,20
acs-yh2410,6,6,6,1,0.1,1,4,0.6
acs-yh2432,7,7,7,1,0.1,1,4,0.7
acs-yh3136,1,1,1,1,2.4,1,145,2.4
