XP/Win7 usage for:  Sun Dec  7 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,132,110,5168,1621,28.1,39,43,3709.2
ALL-XP,1070,512,30884,8916,14.4,28,30,15408
acms-ga,132,110,5168,1621,28.1,39,43,3709.2
acms-testvm,1,1,2,1,0.0,2,0,0
acs-apm3402,28,25,164,119,2.4,5,28,67.2
acs-apm3432,43,38,968,685,2.4,22,6,103.2
acs-b349,28,26,1031,730,12.8,36,21,358.4
acs-bh1309,1,1,2,2,0.1,2,4,0.1
acs-bh1329,1,1,1,1,0.1,1,4,0.1
acs-bh1413,1,1,1,1,1.3,1,77,1.3
acs-bh1449,1,1,1,1,0.4,1,23,0.4
acs-ccc,3,3,97,43,1.7,32,3,5.1
acs-csb115,30,26,285,154,6.6,9,43,198
acs-cseb220,16,3,59,28,0.2,3,3,3.2
acs-cseb250,1,1,14,12,1.2,14,5,1.2
acs-ebu2-127,1,1,1,1,0.0,1,2,0
acs-ebu2-131,1,1,1,1,0.0,1,0,0
acs-ebu2-203,32,30,761,346,26.2,23,68,838.4
acs-ebu2-205,26,25,407,204,20.7,15,82,538.2
acs-ebu2-239,32,28,741,273,17.5,23,45,560
acs-ebu2-312,1,1,1,1,0.2,1,11,0.2
acs-ebu2-315,6,5,69,39,4.7,11,25,28.2
acs-ebu2-330,15,15,179,167,11.6,11,63,174
acs-ebu2-333,3,3,16,10,5.1,5,61,15.3
acs-ebu2-335,13,13,137,128,11.5,10,68,149.5
acs-ebu2-339,2,1,4,3,3.5,2,106,7
acs-ebu3a108,1,1,1,1,10.0,1,600,10
acs-ebu3a161,25,22,218,117,6.1,8,45,152.5
acs-econ100,20,19,441,220,18.2,22,49,364
acs-econ304,16,11,147,43,7.6,9,50,121.6
acs-erc117,30,27,809,453,17.2,26,39,516
acs-gl1al,25,22,913,486,26.2,36,43,655
acs-gl1t,47,42,1827,910,26.0,38,40,1222
acs-gl2w,54,49,2892,1485,27.8,53,31,1501.2
acs-glbw,54,50,2405,956,27.1,44,36,1463.4
acs-hss6033,2,2,34,21,3.2,17,11,6.4
acs-irps,10,9,432,134,13.0,43,18,130
acs-may2544,15,11,67,51,1.9,4,29,28.5
acs-may2722,2,2,6,4,1.5,3,30,3
acs-may3543,1,1,11,5,0.5,11,2,0.5
acs-may3544,7,5,36,13,6.8,5,81,47.6
acs-may3574,4,1,6,5,1.3,1,80,5.2
acs-mgh2116,1,1,1,1,10.0,1,600,10
acs-moms,3,3,505,246,9.6,168,3,28.8
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,1,1,2,1,0.0,2,0,0
acs-nsb2303,38,17,234,112,4.1,6,40,155.8
acs-nsb2311,1,1,2,1,2.0,2,59,2
acs-nsb2319,1,1,1,1,2.3,1,136,2.3
acs-osb10,1,1,4,3,3.0,4,44,3
acs-pch104,8,4,136,56,1.2,17,4,9.6
acs-rcl,1,1,80,71,6.1,80,4,6.1
acs-rh228,1,1,11,7,2.3,11,12,2.3
acs-rimac,3,3,174,114,32.5,58,33,97.5
acs-seq142,26,16,361,191,12.1,13,55,314.6
acs-sme143,50,49,1399,357,27.8,27,61,1390
acs-sungod,9,9,1837,426,1.7,204,0,15.3
acs-treetop,12,12,638,357,26.6,53,30,319.2
acs-triton,27,25,3706,1348,8.5,137,3,229.5
acs-usrsrvs,1,1,3,3,0.2,3,4,0.2
acs-va228,1,1,1,1,2.4,1,146,2.4
acs-va231,1,1,1,1,10.0,1,600,10
acs-vilb3w,2,2,313,183,15.3,156,5,30.6
acs-vilb4e,4,4,134,88,4.1,33,7,16.4
acs-wlh2211,15,13,134,89,12.4,8,93,186
acs-wlh2212,19,12,119,53,6.9,6,68,131.1
acs-wlh2213a,15,14,259,153,22.6,17,79,339
acs-wlh2214,5,5,72,31,15.5,14,66,77.5
acs-wlh2215,12,9,38,30,5.4,3,108,64.8
acs-wlh2216,4,2,13,7,4.8,3,95,19.2
acs-wlh2217a,9,7,52,20,5.4,5,64,48.6
acs-wlh2217c,4,3,28,21,3.5,7,30,14
acs-yh1146,2,1,2,1,10.0,1,600,20
acs-yh1322,2,1,3,2,0.8,1,45,1.6
acs-yh1344,4,2,6,3,0.0,1,1,0
acs-yh2332,1,1,6,3,6.6,6,65,6.6
acs-yh2410,7,6,43,27,7.8,6,77,54.6
acs-yh2432,7,6,47,28,14.4,6,143,100.8
acs-yh3020,24,10,132,36,3.6,5,43,86.4
acs-yh3136,1,1,15,12,13.5,15,54,13.5
acs-yh4124,15,12,16,15,2.1,1,124,31.5
