XP/Win7 usage for:  Sun Feb 22 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,127,95,4437,1486,21.4,34,37,2717.8
ALL-XP,1074,496,23205,8028,14.2,21,40,15250.8
acms-ga,126,95,4437,1486,21.6,35,37,2721.6
acms-mae,1,0,0,0,0.0,0,0,0
acs-apm3402,24,16,81,57,2.5,3,50,60
acs-apm3432,41,29,817,586,7.4,19,23,303.4
acs-b349,28,26,650,356,22.7,23,59,635.6
acs-bh1309,1,1,2,2,0.5,2,14,0.5
acs-bh1329,1,1,3,3,1.9,3,38,1.9
acs-bh1413,1,1,4,2,1.5,4,22,1.5
acs-ccc,3,3,98,53,2.1,32,4,6.3
acs-courtrm,2,1,2,2,0.0,1,2,0
acs-csb115,22,5,63,41,2.4,2,72,52.8
acs-cseb220,13,5,39,29,3.5,3,69,45.5
acs-ebu2-107,1,1,11,7,8.5,11,46,8.5
acs-ebu2-121,7,5,30,22,7.0,4,104,49
acs-ebu2-127,2,2,3,2,0.3,1,18,0.6
acs-ebu2-203,32,31,747,257,29.0,23,75,928
acs-ebu2-205,26,25,466,237,16.8,17,59,436.8
acs-ebu2-239,32,23,406,172,12.6,12,62,403.2
acs-ebu2-311,6,6,89,33,24.0,14,102,144
acs-ebu2-312,2,2,18,7,40.8,9,271,81.6
acs-ebu2-315,5,5,42,25,2.5,8,18,12.5
acs-ebu2-330,8,7,8,8,1.5,1,89,12
acs-ebu2-333,3,3,30,11,21.7,10,130,65.1
acs-ebu2-339,2,1,4,4,2.3,2,69,4.6
acs-ebu2-b035,2,2,16,10,5.1,8,38,10.2
acs-ebu3a108,9,9,64,55,3.2,7,27,28.8
acs-ebu3a161,27,19,164,114,5.9,6,59,159.3
acs-econ100,20,16,291,160,11.2,14,48,224
acs-econ304,15,14,151,39,16.8,10,100,252
acs-erc117,30,28,626,322,16.0,20,47,480
acs-gl1al,25,21,654,364,19.7,26,45,492.5
acs-gl1t,46,44,1222,605,17.8,26,41,818.8
acs-gl1w,54,53,1347,659,22.5,24,56,1215
acs-gl2w,55,49,2153,1150,24.0,39,36,1320
acs-hh1155,1,1,1,1,0.0,1,1,0
acs-hss6033,2,2,31,18,2.7,15,10,5.4
acs-irps,10,9,228,109,7.1,22,19,71
acs-may2544,15,15,188,159,17.8,12,89,267
acs-may2722,6,4,27,16,0.6,4,8,3.6
acs-may3543,1,1,4,4,0.2,4,3,0.2
acs-may3544,7,2,29,9,1.9,4,29,13.3
acs-may3574,7,5,31,11,8.9,4,133,62.3
acs-moms,3,3,395,241,7.2,131,3,21.6
acs-nsb1111,1,1,1,1,10.0,1,600,10
acs-nsb1313a,5,5,7,1,14.0,1,840,70
acs-nsb2303,35,13,180,87,3.9,5,47,136.5
acs-nsb2311,2,1,2,1,1.0,1,60,2
acs-osb10,1,1,6,4,0.8,6,7,0.8
acs-pch104,8,4,149,64,1.2,18,3,9.6
acs-rcl,1,1,180,152,11.8,180,3,11.8
acs-rh228,1,1,15,8,3.5,15,14,3.5
acs-rimac,3,3,167,123,21.0,55,22,63
acs-seq142,25,20,292,169,9.8,11,53,245
acs-sme143,50,49,1258,375,25.6,25,61,1280
acs-sungod,9,9,552,381,25.1,61,24,225.9
acs-treetop,13,13,568,320,20.8,43,29,270.4
acs-triton,28,26,2206,1314,27.1,78,20,758.8
acs-usrsrvs,1,1,3,3,0.8,3,17,0.8
acs-va228,5,4,22,17,3.0,4,44,15
acs-va231,2,2,11,1,6.0,5,72,12
acs-vilb3w,2,2,303,199,9.5,151,3,19
acs-vilb4e,4,4,210,128,12.7,52,14,50.8
acs-wlh2211,14,14,282,207,29.4,20,88,411.6
acs-wlh2212,20,11,170,76,11.5,8,85,230
acs-wlh2213a,15,15,124,91,11.0,8,82,165
acs-wlh2214,5,5,128,87,22.5,25,54,112.5
acs-wlh2215,15,15,134,123,16.5,8,123,247.5
acs-wlh2216,5,5,100,67,18.7,20,56,93.5
acs-wlh2217a,10,10,115,58,21.8,11,119,218
acs-wlh2217c,5,5,73,39,15.0,14,64,75
acs-yh1146,2,2,2,1,10.0,1,600,20
acs-yh1150,1,1,1,1,10.0,1,600,10
acs-yh1322,2,2,8,2,1.3,4,19,2.6
acs-yh1344,5,3,5,2,6.2,1,372,31
acs-yh2310,1,1,7,3,5.8,7,50,5.8
acs-yh2332,1,1,4,3,3.8,4,57,3.8
acs-yh2410,7,7,60,35,9.3,8,69,65.1
acs-yh2432,7,7,51,30,12.6,7,108,88.2
acs-yh3020,22,8,87,40,3.1,3,61,68.2
acs-yh3136,1,1,13,9,6.8,13,31,6.8
acs-yh4124,16,13,37,29,4.2,2,127,67.2
