XP/Win7 usage for:  Sun Feb  8 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,104,80,3098,1187,18.2,29,37,1892.8
ALL-XP,1054,433,24183,7768,11.2,22,30,11804.8
acms-ga,104,80,3098,1187,18.2,29,37,1892.8
acs-apm3402,24,16,91,63,2.5,3,49,60
acs-apm3432,43,18,385,195,3.5,8,26,150.5
acs-b349,28,25,670,372,18.7,23,48,523.6
acs-bh1309,1,1,2,2,1.7,2,51,1.7
acs-bh1329,1,1,5,4,2.5,5,30,2.5
acs-bh1413,1,1,2,2,0.0,2,1,0
acs-bh1449,1,1,2,2,0.0,2,0,0
acs-ccc,3,3,98,47,2.0,32,3,6
acs-csb115,19,5,49,30,2.6,2,78,49.4
acs-cseb220,22,6,75,46,4.0,3,79,88
acs-ebu2-107,1,1,6,4,3.7,6,37,3.7
acs-ebu2-121,7,6,40,28,9.9,5,118,69.3
acs-ebu2-127,2,2,10,9,2.2,5,25,4.4
acs-ebu2-203,32,29,489,227,17.9,15,71,572.8
acs-ebu2-205,26,24,311,181,13.1,11,71,340.6
acs-ebu2-239,32,23,368,185,11.2,11,60,358.4
acs-ebu2-311,6,6,32,22,6.9,5,83,41.4
acs-ebu2-312,2,2,19,6,14.8,9,98,29.6
acs-ebu2-315,2,2,5,4,2.8,2,84,5.6
acs-ebu2-330,7,5,13,7,0.4,1,21,2.8
acs-ebu2-333,2,2,9,5,4.3,4,64,8.6
acs-ebu2-335,2,1,2,1,0.0,1,0,0
acs-ebu2-339,2,1,5,4,17.6,2,527,35.2
acs-ebu2-b035,2,2,19,10,14.7,9,97,29.4
acs-ebu3a108,10,10,93,66,3.2,9,21,32
acs-ebu3a161,26,11,144,101,3.6,5,43,93.6
acs-econ100,20,15,286,140,9.4,14,40,188
acs-econ304,15,11,133,45,11.2,8,83,168
acs-erc117,30,26,1484,312,1.2,49,1,36
acs-gl1al,25,18,621,359,15.7,24,39,392.5
acs-gl1t,46,36,1326,631,16.8,28,36,772.8
acs-gl1w,54,43,1263,670,19.4,23,50,1047.6
acs-gl2w,55,42,2340,1305,21.5,42,30,1182.5
acs-hh1155,1,1,1,1,0.2,1,14,0.2
acs-hss6033,2,2,39,21,5.8,19,18,11.6
acs-irps,10,6,223,102,1.4,22,3,14
acs-may2544,15,15,190,155,17.7,12,88,265.5
acs-may2722,5,3,24,16,2.6,4,39,13
acs-may3544,6,3,25,11,2.5,4,37,15
acs-may3574,9,7,66,16,3.2,7,27,28.8
acs-moms,3,3,390,241,7.4,130,3,22.2
acs-nsb1313a,5,5,7,1,14.0,1,840,70
acs-nsb2303,41,10,155,83,2.1,3,41,86.1
acs-nsb2311,1,1,1,1,10.0,1,600,10
acs-nsb2319,1,1,1,1,0.0,1,1,0
acs-osb10,1,1,3,2,0.1,3,2,0.1
acs-pch104,8,3,187,62,1.1,23,2,8.8
acs-rcl,1,1,137,118,8.0,137,3,8
acs-rh228,1,1,14,5,8.8,14,37,8.8
acs-rimac,3,3,154,115,22.3,51,26,66.9
acs-seq142,26,24,523,206,8.8,20,26,228.8
acs-sme143,50,45,1001,330,19.5,20,58,975
acs-sungod,9,9,535,392,29.5,59,29,265.5
acs-treetop,12,12,595,334,23.9,49,29,286.8
acs-triton,28,25,4223,1369,5.6,150,2,156.8
acs-usrsrvs,1,1,3,3,0.3,3,5,0.3
acs-va228,3,2,10,6,3.0,3,60,9
acs-va231,2,1,2,2,0.1,1,3,0.2
acs-vilb3w,2,2,301,205,9.9,150,3,19.8
acs-vilb4e,4,4,184,111,16.4,46,21,65.6
acs-wlh2211,15,14,309,229,26.6,20,79,399
acs-wlh2212,20,19,244,95,14.9,12,74,298
acs-wlh2213a,15,13,295,145,17.8,19,56,267
acs-wlh2214,5,5,133,85,26.3,26,60,131.5
acs-wlh2215,15,15,177,148,15.7,11,85,235.5
acs-wlh2216,5,5,90,57,21.9,18,73,109.5
acs-wlh2217a,10,9,53,28,4.0,5,47,40
acs-wlh2217c,5,5,71,42,14.1,14,60,70.5
acs-yh1146,3,1,5,3,13.3,1,800,39.9
acs-yh1322,1,1,2,1,0.1,2,3,0.1
acs-yh1344,1,1,2,2,0.0,2,1,0
acs-yh2310,1,1,8,3,12.1,8,90,12.1
acs-yh2332,1,1,8,3,10.9,8,82,10.9
acs-yh2410,7,7,71,37,23.6,10,141,165.2
acs-yh2432,7,7,79,34,22.8,11,124,159.6
acs-yh3020,23,9,105,37,5.4,4,80,124.2
acs-yh3136,1,1,9,6,12.1,9,80,12.1
acs-yh4124,16,9,33,23,2.2,2,64,35.2
