XP/Win7 usage for:  Sun Jan 18 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,139,116,4558,1714,19.3,32,36,2682.7
ALL-XP,1091,524,21427,7811,10.9,19,34,11891.9
acms-ga,139,116,4558,1714,19.3,32,36,2682.7
acs-apm3402,23,14,63,48,2.4,2,72,55.2
acs-apm3432,42,22,343,197,4.1,8,30,172.2
acs-b349,27,26,620,386,19.0,22,51,513
acs-bh1329,1,1,2,2,0.0,2,1,0
acs-ccc,3,3,64,32,1.4,21,3,4.2
acs-csb115,21,8,53,32,2.2,2,67,46.2
acs-cseb220,23,3,52,37,1.1,2,33,25.3
acs-cseb250,1,1,1,1,2.9,1,172,2.9
acs-ebu2-107,1,1,8,5,14.5,8,108,14.5
acs-ebu2-121,6,5,39,22,9.4,6,94,56.4
acs-ebu2-127,2,2,10,8,1.4,5,17,2.8
acs-ebu2-203,31,28,446,255,14.0,14,60,434
acs-ebu2-205,26,17,285,158,9.3,10,55,241.8
acs-ebu2-239,31,18,215,134,6.2,6,61,192.2
acs-ebu2-311,6,6,91,47,23.6,15,94,141.6
acs-ebu2-312,1,1,2,2,0.0,2,0,0
acs-ebu2-315,3,1,10,5,0.3,3,6,0.9
acs-ebu2-330,12,8,25,13,1.5,2,43,18
acs-ebu2-333,3,3,7,6,7.0,2,211,21
acs-ebu2-335,3,2,4,4,1.3,1,76,3.9
acs-ebu2-339,2,2,8,3,4.6,4,68,9.2
acs-ebu2-b035,1,1,5,3,4.5,5,54,4.5
acs-ebu3a108,10,10,30,30,1.9,3,37,19
acs-ebu3a161,25,12,124,75,2.9,4,42,72.5
acs-econ100,20,19,377,209,12.6,18,42,252
acs-econ304,16,14,159,41,8.8,9,58,140.8
acs-erc117,30,29,680,434,10.2,22,27,306
acs-gl1al,25,21,604,333,15.2,24,37,380
acs-gl1t,46,39,1143,588,14.1,24,35,648.6
acs-gl1w,54,51,1140,633,12.6,21,36,680.4
acs-gl2w,55,51,2168,1208,19.5,39,29,1072.5
acs-hss6033,2,2,23,16,3.1,11,17,6.2
acs-irps,10,9,189,96,3.2,18,10,32
acs-may2544,15,15,182,160,22.5,12,112,337.5
acs-may2574,1,1,1,1,0.0,1,1,0
acs-may2722,5,3,42,29,0.9,8,6,4.5
acs-may3544,7,5,26,11,5.3,3,105,37.1
acs-may3574,9,6,39,14,6.8,4,102,61.2
acs-moms,3,3,340,208,6.0,113,3,18
acs-nsb1103a,2,2,6,3,0.1,3,1,0.2
acs-nsb1111,1,1,1,1,10.0,1,600,10
acs-nsb1303a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,5,5,7,3,10.0,1,601,50
acs-nsb2303,35,10,120,72,2.3,3,45,80.5
acs-nsb2311,3,3,5,3,7.1,1,425,21.3
acs-nsb2319,1,1,1,1,10.0,1,600,10
acs-pch104,7,6,156,64,3.9,22,10,27.3
acs-rcl,1,1,127,111,11.7,127,5,11.7
acs-rh228,1,1,8,5,1.7,8,12,1.7
acs-rimac,3,3,94,73,10.2,31,19,30.6
acs-seq142,25,23,284,185,4.3,11,23,107.5
acs-sme143,49,45,1058,367,27.8,21,79,1362.2
acs-sungod,9,9,491,363,27.5,54,30,247.5
acs-treetop,13,12,1057,321,3.9,81,2,50.7
acs-triton,27,27,1885,1216,22.3,69,19,602.1
acs-usrsrvs,1,1,5,5,0.3,5,3,0.3
acs-va228,2,1,6,3,1.7,3,34,3.4
acs-va231,2,2,6,4,5.7,3,114,11.4
acs-vilb3w,2,2,316,219,7.2,158,2,14.4
acs-vilb4e,4,4,154,79,11.4,38,18,45.6
acs-wlh2211,15,15,219,149,19.1,14,81,286.5
acs-wlh2212,20,19,221,90,15.9,11,86,318
acs-wlh2213a,15,15,253,122,22.4,16,83,336
acs-wlh2214,5,5,97,63,21.9,19,69,109.5
acs-wlh2215,15,15,159,115,13.5,10,80,202.5
acs-wlh2216,5,4,38,27,10.0,7,86,50
acs-wlh2217a,10,10,120,59,13.0,12,65,130
acs-wlh2217c,4,4,33,24,13.8,8,103,55.2
acs-yh1146,6,2,6,6,5.2,1,313,31.2
acs-yh1150,1,1,2,1,20.0,2,600,20
acs-yh1344,3,2,8,4,0.3,2,8,0.9
acs-yh2310,1,1,18,6,0.6,18,1,0.6
acs-yh2332,1,1,5,2,14.1,5,169,14.1
acs-yh2410,7,7,61,27,13.8,8,103,96.6
acs-yh2432,7,6,46,28,10.1,6,100,70.7
acs-yh3020,24,9,99,28,3.6,4,54,86.4
acs-yh3136,1,1,12,9,6.8,12,34,6.8
acs-yh4124,16,14,64,31,4.4,4,65,70.4
