XP/Win7 usage for:  Sun Jan  4 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,83,60,1746,826,10.4,21,29,863.2
ALL-XP,985,285,14632,6085,5.2,14,22,5122
acms-ga,82,60,1745,825,10.5,21,30,861
acms-mae,1,1,1,1,10.0,1,600,10
acs-apm3402,25,18,117,71,1.6,4,23,40
acs-apm3432,38,14,260,146,2.8,6,27,106.4
acs-b349,26,25,325,196,7.8,12,39,202.8
acs-ccc,3,3,80,40,1.7,26,3,5.1
acs-csb115,27,15,94,55,1.0,3,19,27
acs-cseb220,21,9,75,51,2.4,3,48,50.4
acs-cseb250,1,1,3,3,0.1,3,2,0.1
acs-ebu2-107,1,1,2,2,0.2,2,7,0.2
acs-ebu2-121,2,2,6,4,3.1,3,61,6.2
acs-ebu2-127,1,1,1,1,0.9,1,54,0.9
acs-ebu2-203,32,15,202,127,4.0,6,39,128
acs-ebu2-205,26,10,86,37,0.6,3,12,15.6
acs-ebu2-239,31,28,69,48,1.3,2,38,40.3
acs-ebu2-311,6,6,48,38,1.5,8,10,9
acs-ebu2-315,3,1,7,5,0.7,2,20,2.1
acs-ebu2-328,2,1,2,2,0.3,1,15,0.6
acs-ebu2-330,15,8,73,18,1.2,4,18,18
acs-ebu2-333,2,2,7,6,0.8,3,16,1.6
acs-ebu2-335,13,6,21,3,0.0,1,2,0
acs-ebu2-339,1,1,4,2,8.9,4,134,8.9
acs-ebu2-b035,1,1,1,1,10.0,1,600,10
acs-ebu3a161,27,26,211,102,5.2,7,44,140.4
acs-econ100,19,9,171,95,3.6,9,23,68.4
acs-econ304,17,11,113,46,4.9,6,48,83.3
acs-erc117,29,29,333,188,5.9,11,32,171.1
acs-gl1al,25,17,479,254,8.5,19,26,212.5
acs-gl1t,45,25,805,404,7.3,17,25,328.5
acs-gl1w,54,28,632,321,5.6,11,30,302.4
acs-gl2w,55,41,2224,1233,11.0,40,16,605
acs-hss6033,2,2,44,22,4.9,22,13,9.8
acs-irps,10,8,231,103,6.4,23,16,64
acs-may2544,15,15,259,207,8.8,17,31,132
acs-may2722,4,2,11,4,0.2,2,7,0.8
acs-may3543,1,1,4,2,0.3,4,4,0.3
acs-may3544,6,4,25,12,3.1,4,46,18.6
acs-may3574,9,9,35,17,6.1,3,122,54.9
acs-moms,3,3,216,117,4.0,72,3,12
acs-nsb1303a,1,1,2,1,1.2,2,36,1.2
acs-nsb1313a,5,5,6,1,10.0,1,602,50
acs-nsb2303,29,10,111,58,1.7,3,33,49.3
acs-nsb2311,1,1,1,1,10.0,1,600,10
acs-nsb2319,1,1,1,1,10.0,1,600,10
acs-osb10,1,1,1,1,0.6,1,33,0.6
acs-pch104,7,4,82,42,0.8,11,4,5.6
acs-rcl,1,1,91,76,5.8,91,3,5.8
acs-rh228,1,1,3,3,0.5,3,9,0.5
acs-rimac,3,3,106,78,12.2,35,20,36.6
acs-seq142,25,20,163,113,4.1,6,41,102.5
acs-sme143,46,42,616,330,6.1,13,28,280.6
acs-sungod,9,8,549,346,21.6,61,21,194.4
acs-treetop,13,11,803,277,10.8,61,10,140.4
acs-triton,27,25,2235,1334,19.7,82,14,531.9
acs-usrsrvs,1,1,3,3,0.0,3,0,0
acs-va228,1,1,1,1,1.4,1,87,1.4
acs-va231,1,1,1,1,10.0,1,600,10
acs-vilb3w,2,2,251,174,10.0,125,4,20
acs-vilb4e,4,4,124,78,6.8,31,13,27.2
acs-wlh2211,15,14,146,95,11.9,9,79,178.5
acs-wlh2212,17,11,49,17,3.0,2,88,51
acs-wlh2213a,14,13,24,12,1.4,1,83,19.6
acs-wlh2214,3,2,11,7,1.8,3,35,5.4
acs-wlh2215,14,14,49,38,5.2,3,104,72.8
acs-wlh2216,3,3,5,3,0.2,1,9,0.6
acs-wlh2217a,6,4,17,5,0.8,2,23,4.8
acs-wlh2217c,4,3,4,1,0.1,1,3,0.4
acs-yh1146,6,4,6,2,10.0,1,600,60
acs-yh1150,1,1,1,1,10.0,1,600,10
acs-yh1344,2,1,2,2,0.0,1,2,0
acs-yh2332,1,1,1,1,8.3,1,499,8.3
acs-yh2410,7,7,38,22,5.4,5,64,37.8
acs-yh2432,7,7,48,27,5.8,6,58,40.6
acs-yh3020,9,4,13,9,1.3,1,78,11.7
acs-yh3136,1,1,16,13,11.2,16,42,11.2
acs-yh4124,15,13,30,28,2.7,2,80,40.5
