XP/Win7 usage for:  Sun Jul 20 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,40,14,899,326,9.1,22,24,364
ALL-XP,1009,304,8286,3033,6.1,8,45,6154.9
acms-ga,40,14,899,326,9.1,22,24,364
acs-apm3402,12,12,23,12,1.7,1,99,20.4
acs-apm3432,11,3,17,11,0.6,1,33,6.6
acs-b325,22,21,235,115,10.2,10,61,224.4
acs-b349,25,20,266,152,10.2,10,61,255
acs-b432,40,23,322,151,6.0,8,44,240
acs-bh1309,1,1,3,2,2.1,3,41,2.1
acs-bml,64,27,446,232,8.2,6,82,524.8
acs-bmlgl,4,3,58,29,9.3,14,40,37.2
acs-ccc,2,2,7,7,0.6,3,11,1.2
acs-csb115,26,16,144,58,6.4,5,77,166.4
acs-cseb220,12,4,38,14,7.1,3,141,85.2
acs-cseb250,35,15,151,65,5.4,4,80,189
acs-cseb260,31,12,60,37,2.9,1,171,89.9
acs-cseb270,38,20,68,35,3.5,1,208,133
acs-ebu2-121,1,1,2,1,0.1,2,4,0.1
acs-ebu2-127,1,1,1,1,1.2,1,71,1.2
acs-ebu2-203,33,24,105,40,5.0,3,99,165
acs-ebu2-239,29,20,143,44,4.3,4,65,124.7
acs-ebu2-312,1,1,1,1,2.6,1,154,2.6
acs-ebu2-315,2,2,13,5,4.9,6,48,9.8
acs-ebu2-330,1,1,3,1,1.6,3,32,1.6
acs-ebu2-333,1,1,2,1,0.1,2,1,0.1
acs-ebu2-b035,1,1,1,1,7.0,1,417,7
acs-ebu3a161,21,16,76,28,3.8,3,76,79.8
acs-econ100,17,12,38,24,2.5,2,75,42.5
acs-econ304,19,12,106,35,10.5,5,126,199.5
acs-erc117,29,20,98,67,2.4,3,48,69.6
acs-gl1e,79,44,1008,482,9.5,12,47,750.5
acs-gl1w,57,46,1051,511,17.2,18,57,980.4
acs-gl2095,15,10,63,31,6.1,4,91,91.5
acs-glb,45,15,244,132,5.0,5,59,225
acs-glbsw,25,16,185,102,9.1,7,78,227.5
acs-glbw,50,25,341,169,6.6,6,65,330
acs-hh1155,1,1,1,1,0.1,1,9,0.1
acs-hss6033,2,1,8,5,0.6,4,8,1.2
acs-irps,7,6,20,15,1.3,2,39,9.1
acs-may2574,1,1,2,2,0.1,2,1,0.1
acs-may2722,6,6,40,22,1.2,6,12,7.2
acs-may3544,2,1,4,2,1.9,2,56,3.8
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,4,4,6,1,15.0,1,900,60
acs-nsb2303,20,10,139,46,8.1,6,81,162
acs-nsb2311,2,1,4,4,10.7,2,322,21.4
acs-nsb2319,6,4,11,7,0.2,1,13,1.2
acs-osb10,1,1,1,1,0.5,1,32,0.5
acs-pch104,6,2,28,17,0.8,4,12,4.8
acs-pfbh108,3,2,3,3,6.7,1,401,20.1
acs-rh228,1,1,4,2,2.8,4,41,2.8
acs-rimac,3,2,13,12,0.9,4,14,2.7
acs-seq142,22,18,46,35,2.8,2,83,61.6
acs-sme143,46,28,242,85,4.4,5,53,202.4
acs-ssb139,6,2,20,12,5.9,3,118,35.4
acs-sungod,9,9,221,154,9.0,24,22,81
acs-treetop,13,12,211,111,8.6,16,32,111.8
acs-triton,27,21,901,560,8.3,33,15,224.1
acs-va231,1,1,2,1,0.0,2,0,0
acs-vilb3w,2,2,9,8,0.5,4,8,1
acs-vilb6e,4,4,89,58,8.4,22,22,33.6
acs-wlh2212,1,1,1,1,0.6,1,37,0.6
acs-wlh2213a,1,1,1,1,1.9,1,112,1.9
acs-yh1146,4,2,8,4,6.7,2,199,26.8
acs-yh1150,1,1,2,1,0.1,2,1,0.1
acs-yh1344,6,4,8,3,5.9,1,356,35.4
acs-yh2410,1,1,1,1,0.0,1,2,0
acs-yh3020,8,8,8,7,0.9,1,52,7.2
acs-yh3136,1,1,13,5,9.2,13,42,9.2
