XP/Win7 usage for:  Sun Jul  6 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,49,14,891,322,7.4,18,24,362.6
ALL-XP,1049,314,9176,3204,5.9,8,44,6189.1
acms-ga,49,14,891,322,7.4,18,24,362.6
acs-apm3402,13,12,24,13,2.2,1,131,28.6
acs-apm3432,7,2,11,8,0.2,1,13,1.4
acs-b325,22,22,253,138,7.3,11,39,160.6
acs-b349,25,13,245,135,6.5,9,43,162.5
acs-b432,40,22,359,157,5.8,8,43,232
acs-bh1309,1,1,1,1,2.6,1,159,2.6
acs-bh1449,1,1,1,1,0.1,1,3,0.1
acs-bml,66,31,520,264,9.7,7,83,640.2
acs-bmlgl,4,4,70,28,18.9,17,66,75.6
acs-ccc,2,2,18,12,0.5,9,3,1
acs-csb115,30,23,121,39,3.7,4,55,111
acs-cseb220,12,1,11,7,1.1,0,0,13.2
acs-cseb250,35,18,214,73,7.0,6,70,245
acs-cseb260,27,6,77,44,3.3,2,100,89.1
acs-cseb270,36,18,98,53,4.1,2,124,147.6
acs-ebu2-127,2,2,2,2,0.9,1,55,1.8
acs-ebu2-203,31,21,114,57,4.2,3,83,130.2
acs-ebu2-205,25,21,55,31,1.6,2,48,40
acs-ebu2-239,32,25,258,31,6.4,8,48,204.8
acs-ebu2-315,2,2,38,17,2.2,19,7,4.4
acs-ebu2-333,2,1,4,4,0.6,2,19,1.2
acs-ebu3a161,19,14,112,30,7.1,5,85,134.9
acs-econ-rdp,2,1,4,2,1.2,2,36,2.4
acs-econ100,2,1,2,2,0.1,1,3,0.2
acs-econ200,14,8,88,31,6.3,6,62,88.2
acs-erc117,29,20,120,73,2.7,4,40,78.3
acs-gl1e,78,42,1074,545,11.1,13,51,865.8
acs-gl1w,58,42,1234,584,17.3,21,49,1003.4
acs-gl2095,12,6,54,30,6.1,4,91,73.2
acs-glb,45,21,224,126,5.5,4,82,247.5
acs-glbsw,24,11,191,112,7.4,7,63,177.6
acs-glbw,50,19,337,171,5.3,6,53,265
acs-hss6033,2,2,16,7,2.2,8,16,4.4
acs-irps,10,10,31,15,1.2,3,23,12
acs-may2722,6,6,39,22,2.8,6,27,16.8
acs-may3544,1,1,4,1,22.9,4,343,22.9
acs-mgh2116,1,1,2,2,0.0,2,0,0
acs-nsb1103a,2,2,7,3,1.5,3,29,3
acs-nsb1313a,4,4,4,1,10.0,1,600,40
acs-nsb2303,25,25,207,100,7.8,8,58,195
acs-nsb2311,1,1,3,2,8.6,3,172,8.6
acs-nsb2319,3,1,11,5,0.5,3,10,1.5
acs-osb10,1,1,2,2,0.2,2,5,0.2
acs-pch104,7,3,54,20,1.5,7,12,10.5
acs-pfbh108,9,9,46,19,12.1,5,145,108.9
acs-rh228,1,1,6,2,3.7,6,36,3.7
acs-rimac,3,3,35,29,1.5,11,8,4.5
acs-seq142,22,18,50,33,3.4,2,102,74.8
acs-sme143,44,35,207,53,3.7,4,56,162.8
acs-ssb139,8,3,21,8,2.3,2,69,18.4
acs-sungod,9,8,281,147,6.0,31,11,54
acs-treetop,12,10,189,107,9.4,15,37,112.8
acs-triton,26,23,927,575,10.0,35,17,260
acs-va228,2,2,3,2,0.1,1,9,0.2
acs-va231,2,1,4,4,3.5,2,105,7
acs-vilb6e,4,4,107,60,3.8,26,8,15.2
acs-wlh2211,1,1,1,1,0.2,1,11,0.2
acs-wlh2212,7,6,8,4,0.0,1,1,0
acs-wlh2216,3,3,3,2,0.3,1,19,0.9
acs-yh1146,7,4,22,6,11.9,3,237,83.3
acs-yh1344,1,1,1,1,10.0,1,600,10
acs-yh2332,1,1,4,2,3.6,4,54,3.6
acs-yh2410,7,7,7,1,0.4,1,25,2.8
acs-yh2432,7,7,9,3,0.8,1,46,5.6
acs-yh3020,12,10,17,12,0.8,1,47,9.6
acs-yh3136,1,1,23,5,5.2,23,13,5.2
