XP/Win7 usage for:  Sun Jun 21 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,24,13,397,167,7.4,16,27,177.6
ALL-XP,356,69,3020,764,1.1,8,7,391.6
acms-ga,24,13,397,167,7.4,16,27,177.6
acs-apm3402,4,2,10,4,3.2,2,96,12.8
acs-b349,19,11,197,20,0.0,10,0,0
acs-ccc,2,1,2,2,0.0,1,2,0
acs-csb115,1,1,2,1,1.0,2,30,1
acs-ebu2-121,1,1,1,1,0.2,1,11,0.2
acs-ebu2-203,17,3,37,20,2.9,2,87,49.3
acs-ebu2-205,4,2,4,4,0.3,1,16,1.2
acs-ebu2-311,1,1,1,1,0.1,1,3,0.1
acs-ebu2-328,1,1,1,1,10.0,1,600,10
acs-ebu2-333,3,3,8,4,3.2,2,96,9.6
acs-ebu2-335,1,1,1,1,0.2,1,15,0.2
acs-ebu3a108,3,1,5,2,0.4,1,24,1.2
acs-ebu3a161,5,1,8,8,0.7,1,40,3.5
acs-econ304,19,10,72,25,13.1,3,261,248.9
acs-erc117,7,2,21,13,0.8,3,16,5.6
acs-gl1al,11,5,29,20,0.6,2,18,6.6
acs-gl1t,19,5,33,25,2.0,1,120,38
acs-gl1w,18,5,27,14,1.7,1,100,30.6
acs-gl2w,49,12,861,111,0.0,17,0,0
acs-hh1155,1,1,4,1,0.3,4,4,0.3
acs-hss6033,2,2,9,7,3.4,4,51,6.8
acs-irps,6,2,18,16,0.5,3,9,3
acs-may3544,2,1,5,2,0.9,2,26,1.8
acs-osb10,1,1,4,1,0.3,4,4,0.3
acs-pch104,5,2,5,4,0.2,1,11,1
acs-rh228,1,1,9,3,1.0,9,6,1
acs-rimac,3,1,28,9,0.5,9,3,1.5
acs-seq142,5,3,11,8,1.2,2,36,6
acs-sme143,50,44,541,22,1.1,10,6,55
acs-sungod,9,5,67,49,2.4,7,20,21.6
acs-treetop,13,4,63,24,1.1,4,17,14.3
acs-triton,28,10,488,248,2.2,17,7,61.6
acs-usrsrvs,1,1,5,3,0.6,5,6,0.6
acs-va228,1,1,4,2,0.0,4,0,0
acs-vilb3w,1,1,1,1,0.1,1,9,0.1
acs-vilb4e,1,1,3,3,0.1,3,2,0.1
acs-wlh2211,3,2,3,3,0.8,1,48,2.4
acs-wlh2213a,2,1,2,2,0.6,1,37,1.2
acs-wlh2215,1,1,1,1,4.0,1,242,4
acs-yh1146,2,2,11,4,0.2,5,3,0.4
acs-yh1150,1,1,1,1,10.0,1,600,10
acs-yh1344,1,1,1,1,10.0,1,600,10
acs-yh2310,1,1,6,2,0.0,6,0,0
acs-yh2332,1,1,2,1,0.1,2,4,0.1
acs-yh2410,1,1,1,1,0.2,1,14,0.2
acs-yh2432,1,1,2,1,0.1,2,2,0.1
acs-yh3136,1,1,4,3,0.9,4,14,0.9
acs-yh4124,2,1,4,1,2.0,2,61,4
