XP/Win7 usage for:  Sun Jun  7 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,77,61,1551,613,12.5,20,37,962.5
ALL-XP,891,366,14355,5632,11.9,16,44,10602.9
acms-ga,77,61,1551,613,12.5,20,37,962.5
acms-osd,1,1,3,1,0.0,3,0,0
acs-apm3402,8,5,9,8,1.4,1,86,11.2
acs-apm3432,37,12,164,79,2.0,4,30,74
acs-b349,26,17,272,159,13.9,10,83,361.4
acs-ccc,3,2,60,43,0.0,20,0,0
acs-courtrm,7,6,238,119,22.1,34,38,154.7
acs-csb115,26,12,80,49,4.1,3,82,106.6
acs-cseb220,24,9,74,22,7.5,3,150,180
acs-ebu2-121,1,1,1,1,1.0,1,62,1
acs-ebu2-131,1,1,4,3,9.7,4,145,9.7
acs-ebu2-203,31,26,267,165,13.0,8,97,403
acs-ebu2-205,25,13,141,88,7.1,5,84,177.5
acs-ebu2-239,31,20,215,113,9.3,6,93,288.3
acs-ebu2-311,2,1,2,2,10.0,1,600,20
acs-ebu2-312,1,1,10,7,17.4,10,104,17.4
acs-ebu2-315,2,1,3,2,0.2,1,10,0.4
acs-ebu2-328,2,2,8,4,32.1,4,481,64.2
acs-ebu2-330,1,1,1,1,1.4,1,83,1.4
acs-ebu2-333,2,2,12,10,3.1,6,31,6.2
acs-ebu2-335,3,1,3,3,0.6,1,35,1.8
acs-ebu2-339,2,2,8,5,8.7,4,131,17.4
acs-ebu2-b035,2,2,19,10,8.8,9,58,17.6
acs-ebu3a108,2,2,3,2,0.1,1,3,0.2
acs-ebu3a161,20,7,50,30,4.4,2,131,88
acs-econ100,19,14,258,130,12.2,13,56,231.8
acs-econ304,18,13,163,49,25.8,9,172,464.4
acs-erc117,30,25,807,351,13.4,26,31,402
acs-gl1al,25,20,648,326,25.2,25,60,630
acs-gl1t,46,37,884,495,14.5,19,45,667
acs-gl1w,52,44,1085,526,26.2,20,78,1362.4
acs-gl2w,54,47,1892,955,35.4,35,60,1911.6
acs-hss6033,2,1,22,12,1.6,11,8,3.2
acs-irps,10,8,177,91,3.7,17,12,37
acs-may2722,2,1,6,2,0.3,3,6,0.6
acs-may3543,1,1,4,3,5.2,4,78,5.2
acs-may3544,6,3,23,14,0.5,3,10,3
acs-may3574,9,3,15,12,2.5,1,151,22.5
acs-moms,3,2,259,199,0.0,86,0,0
acs-nsb2303,26,8,68,39,2.7,2,80,70.2
acs-osb10,1,1,1,1,1.3,1,76,1.3
acs-pch104,8,3,123,65,0.0,15,0,0
acs-rcl,1,1,147,121,0.0,147,0,0
acs-rh228,1,1,10,7,13.3,10,79,13.3
acs-rimac,3,3,141,106,12.6,47,16,37.8
acs-seq142,25,18,351,190,9.9,14,42,247.5
acs-sme143,48,42,626,220,16.3,13,75,782.4
acs-sungod,9,9,418,288,25.2,46,32,226.8
acs-treetop,13,12,362,226,19.6,27,43,254.8
acs-triton,28,27,1843,1137,24.6,65,22,688.8
acs-usrsrvs,1,1,3,3,0.1,3,3,0.1
acs-va228,5,3,18,8,4.4,3,87,22
acs-va231,1,1,2,1,0.5,2,15,0.5
acs-vilb3w,1,1,151,128,12.4,151,4,12.4
acs-vilb4e,4,4,286,169,5.4,71,4,21.6
acs-wlh2211,12,8,65,20,13.3,5,159,159.6
acs-wlh2212,19,10,48,24,6.0,2,180,114
acs-wlh2213a,3,1,4,2,3.0,1,179,9
acs-wlh2214,5,5,54,27,16.9,10,101,84.5
acs-wlh2215,12,4,24,18,4.3,2,128,51.6
acs-wlh2216,4,3,27,12,18.8,6,188,75.2
acs-wlh2217a,9,6,24,12,4.2,2,126,37.8
acs-wlh2217c,5,4,32,24,5.0,6,49,25
acs-yh1146,1,1,1,1,0.0,1,2,0
acs-yh1344,1,1,1,1,0.1,1,7,0.1
acs-yh2310,1,1,6,2,0.0,6,0,0
acs-yh2332,1,1,1,1,0.1,1,6,0.1
acs-yh2410,6,2,21,17,2.2,3,44,13.2
acs-yh2432,7,4,20,11,12.2,2,365,85.4
acs-yh3020,15,6,34,19,11.1,2,333,166.5
acs-yh3136,1,1,2,2,0.1,2,3,0.1
