XP/Win7 usage for:  Sun Mar  1 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,122,92,3944,1314,22.4,32,41,2732.8
ALL-XP,1051,493,21601,7402,13.8,20,41,14503.8
acms-ga,122,92,3944,1314,22.4,32,41,2732.8
acs-apm3402,25,14,95,62,2.2,3,44,55
acs-apm3432,41,23,376,182,2.7,9,17,110.7
acs-b349,28,26,659,354,21.9,23,57,613.2
acs-bh1413,1,1,4,2,0.6,4,8,0.6
acs-bh1449,1,1,21,8,1.9,21,5,1.9
acs-ccc,3,3,78,42,1.9,26,4,5.7
acs-csb115,22,7,67,43,2.3,3,45,50.6
acs-cseb220,17,4,42,34,2.7,2,80,45.9
acs-ebu2-107,1,1,4,3,3.3,4,49,3.3
acs-ebu2-121,7,5,30,23,6.5,4,97,45.5
acs-ebu2-203,33,32,687,253,29.6,20,88,976.8
acs-ebu2-205,26,25,353,192,19.4,13,89,504.4
acs-ebu2-239,32,22,347,163,13.2,10,78,422.4
acs-ebu2-311,2,1,3,2,4.5,1,269,9
acs-ebu2-312,2,2,24,7,13.1,12,65,26.2
acs-ebu2-315,4,3,21,11,1.3,5,15,5.2
acs-ebu2-328,1,1,1,1,10.0,1,600,10
acs-ebu2-333,3,3,34,19,9.0,11,48,27
acs-ebu2-339,2,2,4,3,2.8,2,85,5.6
acs-ebu2-b035,2,2,28,17,20.5,14,87,41
acs-ebu3a108,10,10,53,38,3.6,5,43,36
acs-ebu3a161,26,15,158,97,5.2,6,52,135.2
acs-econ100,20,12,305,156,9.2,15,36,184
acs-econ304,16,12,133,47,25.2,8,188,403.2
acs-erc117,30,21,891,332,11.4,29,23,342
acs-gl1al,25,18,590,323,18.3,23,47,457.5
acs-gl1t,46,38,1198,569,17.6,26,40,809.6
acs-gl1w,54,48,1151,586,23.1,21,65,1247.4
acs-gl2w,54,44,2174,1142,21.5,40,32,1161
acs-hh1155,1,1,1,1,0.5,1,28,0.5
acs-hss6033,2,2,32,19,2.2,16,8,4.4
acs-irps,10,7,179,84,7.3,17,25,73
acs-may2544,15,15,181,146,16.4,12,81,246
acs-may2722,6,6,75,61,5.6,12,27,33.6
acs-may3544,5,3,19,10,8.4,3,168,42
acs-may3574,8,7,44,12,9.8,5,118,78.4
acs-moms,3,3,359,250,7.9,119,4,23.7
acs-nsb1303a,1,1,2,2,0.0,2,0,0
acs-nsb1313a,5,5,11,3,12.7,2,380,63.5
acs-nsb2303,39,16,177,88,3.2,4,47,124.8
acs-osb10,1,1,7,2,0.3,7,2,0.3
acs-pch104,8,4,120,56,1.0,15,3,8
acs-rcl,1,1,202,155,11.6,202,3,11.6
acs-rh228,1,1,12,6,3.6,12,18,3.6
acs-rimac,3,3,142,113,16.3,47,20,48.9
acs-seq142,25,17,345,191,8.5,13,39,212.5
acs-sme143,49,48,1090,339,25.5,22,69,1249.5
acs-sungod,9,9,588,402,27.0,65,24,243
acs-treetop,13,12,602,338,25.5,46,33,331.5
acs-triton,28,25,2089,1209,24.7,74,19,691.6
acs-usrsrvs,1,1,8,7,1.6,8,12,1.6
acs-va228,2,1,6,5,2.1,3,42,4.2
acs-va231,2,2,3,3,3.5,1,210,7
acs-vilb3w,2,2,196,149,5.9,98,3,11.8
acs-vilb4e,4,4,268,132,20.2,67,18,80.8
acs-wlh2211,14,14,169,120,15.9,12,79,222.6
acs-wlh2212,19,18,206,90,12.1,10,72,229.9
acs-wlh2213a,15,15,222,132,19.0,14,81,285
acs-wlh2214,5,5,123,85,22.4,24,55,112
acs-wlh2215,15,15,104,93,11.2,6,112,168
acs-wlh2216,5,5,82,53,16.4,16,61,82
acs-wlh2217a,10,10,114,54,20.4,11,111,204
acs-wlh2217c,5,5,98,58,18.4,19,57,92
acs-yh1146,1,1,4,2,6.8,4,101,6.8
acs-yh1322,2,2,5,3,11.4,2,341,22.8
acs-yh1344,4,3,10,6,2.5,2,75,10
acs-yh2310,1,1,7,3,6.9,7,58,6.9
acs-yh2332,1,1,8,3,10.2,8,76,10.2
acs-yh2410,7,6,44,30,6.8,6,67,47.6
acs-yh2432,7,7,33,24,10.7,4,160,74.9
acs-yh3020,23,11,87,40,4.9,3,98,112.7
acs-yh3136,1,1,23,15,2.9,23,7,2.9
acs-yh4124,16,14,29,24,3.9,1,231,62.4
