XP/Win7 usage for:  Sun Mar 22 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,33,10,258,155,3.4,7,28,112.2
ALL-XP,433,55,1821,612,1.3,4,19,562.9
acms-ga,33,10,258,155,3.4,7,28,112.2
acs-apm3432,3,2,11,3,0.0,3,0,0
acs-b349,1,1,3,3,0.3,3,5,0.3
acs-blake,2,2,6,2,0.1,3,1,0.2
acs-ccc,3,3,16,3,0.0,5,0,0
acs-csb115,2,1,2,2,0.2,1,13,0.4
acs-cseb220,29,29,39,2,0.7,1,41,20.3
acs-ebu2-203,25,7,64,23,4.5,2,134,112.5
acs-ebu2-205,5,2,12,3,2.2,2,66,11
acs-ebu2-239,4,2,5,3,0.6,1,35,2.4
acs-ebu2-330,14,14,19,3,9.7,1,582,135.8
acs-ebu2-339,1,1,1,1,0.0,1,2,0
acs-ebu2-b035,2,1,4,4,12.1,2,363,24.2
acs-ebu3a108,10,10,49,4,0.6,4,9,6
acs-ebu3a161,4,2,13,6,0.7,3,14,2.8
acs-econ100,3,1,4,1,1.0,1,60,3
acs-econ304,16,9,80,25,20.8,5,249,332.8
acs-erc117,30,10,392,18,0.0,13,0,0
acs-gl1al,10,2,15,8,0.4,1,23,4
acs-gl1t,22,5,44,24,1.1,2,34,24.2
acs-gl1w,19,4,28,19,1.5,1,91,28.5
acs-gl2w,50,16,188,85,3.6,3,72,180
acs-hss6033,2,2,20,11,1.6,10,9,3.2
acs-irps,9,3,22,16,2.4,2,72,21.6
acs-may3574,4,3,4,4,6.6,1,398,26.4
acs-moms,3,3,10,3,0.0,3,0,0
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb2303,2,1,2,2,0.1,1,5,0.2
acs-nsb2319,1,1,1,1,10.0,1,600,10
acs-pch104,8,7,36,7,0.1,4,0,0.8
acs-rcl,1,1,4,2,0.0,4,0,0
acs-rh228,1,1,6,1,15.8,6,157,15.8
acs-rimac,3,1,8,8,0.9,2,25,2.7
acs-seq142,26,2,30,1,0.0,1,0,0
acs-sme143,17,7,53,23,2.2,3,44,37.4
acs-sungod,6,4,29,20,2.6,4,38,15.6
acs-treetop,9,4,23,12,3.5,2,105,31.5
acs-triton,26,13,262,161,2.8,10,16,72.8
acs-usrsrvs,1,1,3,2,0.2,3,4,0.2
acs-va228,2,1,2,2,0.0,1,1,0
acs-vilb3w,1,1,9,8,1.2,9,7,1.2
acs-vilb4e,4,2,14,8,1.4,3,27,5.6
acs-wlh2211,4,2,4,3,0.3,1,16,1.2
acs-wlh2212,1,1,1,1,0.1,1,8,0.1
acs-wlh2213a,1,1,1,1,0.1,1,4,0.1
acs-wlh2215,1,1,2,1,0.2,2,6,0.2
acs-yh1146,3,2,4,2,13.3,1,800,39.9
acs-yh1150,1,1,2,1,20.0,2,600,20
acs-yh2310,1,0,1,1,0.0,1,0,0
acs-yh2410,1,1,4,1,0.0,4,0,0
acs-yh2432,1,0,3,1,0.0,3,0,0
acs-yh3020,1,0,3,1,0.0,3,0,0
acs-yh3136,1,1,2,1,0.1,2,1,0.1
acs-yh4124,2,1,2,2,0.1,1,3,0.2
