XP/Win7 usage for:  Sat Mar  7 23:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,140,120,5236,1447,25.8,37,41,3612
ALL-XP,1078,507,27431,8456,15.6,25,37,16816.8
acms-ga,140,120,5236,1447,25.8,37,41,3612
acs-apm3402,25,21,102,88,1.9,4,28,47.5
acs-apm3432,42,24,720,547,1.0,17,3,42
acs-b349,28,28,1137,855,14.3,40,21,400.4
acs-bh1309,1,1,1,1,0.1,1,4,0.1
acs-bh1329,1,1,2,2,0.3,2,8,0.3
acs-bh1413,1,1,1,1,10.0,1,600,10
acs-bh1449,1,1,1,1,0.2,1,15,0.2
acs-ccc,3,3,99,60,2.4,33,4,7.2
acs-courtrm,7,1,136,3,0.0,19,0,0
acs-csb115,24,7,80,52,3.5,3,69,84
acs-cseb220,16,4,29,23,1.6,1,97,25.6
acs-ebu2-107,1,1,10,6,5.0,10,29,5
acs-ebu2-121,7,5,38,24,7.8,5,93,54.6
acs-ebu2-127,1,1,1,1,0.5,1,32,0.5
acs-ebu2-203,33,31,804,227,24.8,24,62,818.4
acs-ebu2-205,26,24,491,210,17.0,18,56,442
acs-ebu2-239,32,27,570,239,19.0,17,67,608
acs-ebu2-311,1,1,3,1,0.4,3,7,0.4
acs-ebu2-312,2,2,16,7,37.5,8,281,75
acs-ebu2-315,4,2,10,9,0.6,2,18,2.4
acs-ebu2-328,1,1,1,1,0.3,1,17,0.3
acs-ebu2-333,3,2,14,9,2.7,4,41,8.1
acs-ebu2-339,2,2,16,7,10.9,8,81,21.8
acs-ebu2-b035,2,2,24,11,11.3,12,56,22.6
acs-ebu3a108,10,10,37,19,2.3,3,46,23
acs-ebu3a161,24,9,134,78,5.8,5,70,139.2
acs-econ100,20,15,459,216,16.2,22,44,324
acs-econ304,16,13,152,49,9.0,9,60,144
acs-erc117,30,25,1148,431,18.5,38,29,555
acs-gl1al,25,22,813,435,23.8,32,44,595
acs-gl1t,46,42,1679,816,26.6,36,44,1223.6
acs-gl1w,53,48,1754,825,30.1,33,54,1595.3
acs-gl2w,55,52,2733,1400,28.8,49,35,1584
acs-hh1155,1,1,4,3,2.0,4,29,2
acs-hss6033,2,2,28,15,2.3,14,9,4.6
acs-irps,10,7,208,96,6.2,20,18,62
acs-may2544,15,14,65,52,0.7,4,9,10.5
acs-may2722,3,2,12,8,0.6,4,8,1.8
acs-may3543,1,1,2,2,0.1,2,1,0.1
acs-may3544,6,3,26,12,8.1,4,121,48.6
acs-may3574,9,5,38,11,9.5,4,142,85.5
acs-moms,3,3,501,297,10.4,167,3,31.2
acs-nsb1313a,5,4,7,2,8.0,1,480,40
acs-nsb2303,48,15,306,115,3.1,6,30,148.8
acs-nsb2319,1,1,1,1,9.6,1,576,9.6
acs-osb10,1,1,4,3,0.4,4,5,0.4
acs-pch104,8,5,144,65,1.2,18,3,9.6
acs-rcl,1,1,31,28,2.0,31,3,2
acs-rh228,1,1,25,10,10.6,25,25,10.6
acs-rimac,3,3,179,123,20.9,59,21,62.7
acs-seq142,25,20,537,253,12.8,21,36,320
acs-sme143,50,46,1453,372,35.7,29,73,1785
acs-sungod,9,9,593,401,29.1,65,26,261.9
acs-treetop,13,13,701,368,29.4,53,33,382.2
acs-triton,28,24,2201,1255,23.8,78,18,666.4
acs-usrsrvs,1,1,5,5,18.4,5,220,18.4
acs-va228,4,2,8,4,1.7,2,50,6.8
acs-va231,1,1,1,1,3.7,1,221,3.7
acs-vilb3w,2,2,270,190,5.4,135,2,10.8
acs-vilb4e,4,4,231,137,11.1,57,11,44.4
acs-wlh2211,14,13,209,156,20.5,14,88,287
acs-wlh2212,19,19,202,86,12.7,10,76,241.3
acs-wlh2213a,15,15,197,112,17.5,13,80,262.5
acs-wlh2214,5,5,110,76,19.0,22,51,95
acs-wlh2215,15,13,118,91,11.0,7,94,165
acs-wlh2216,5,4,60,42,16.0,12,79,80
acs-wlh2217a,10,10,86,50,16.5,8,123,165
acs-wlh2217c,5,5,78,40,24.6,15,98,123
acs-yh1146,1,1,1,1,0.6,1,35,0.6
acs-yh1322,1,1,2,2,1.2,2,36,1.2
acs-yh1344,3,2,8,3,1.1,2,31,3.3
acs-yh2310,1,1,8,3,7.6,8,56,7.6
acs-yh2332,1,1,7,3,5.9,7,50,5.9
acs-yh2410,7,6,46,26,10.9,6,108,76.3
acs-yh2432,7,7,48,32,9.1,6,90,63.7
acs-yh3020,24,11,203,83,7.5,8,55,180
acs-yh3136,1,1,7,5,1.2,7,10,1.2
acs-yh4124,6,5,9,9,1.4,1,85,8.4
