XP/Win7 usage for:  Sun May 10 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,113,99,4192,1583,25.9,37,42,2926.7
ALL-XP,1097,510,23630,8068,13.4,21,38,14699.8
acms-ga,113,99,4192,1583,25.9,37,42,2926.7
acms-osd,1,1,2,1,0.1,2,3,0.1
acs-apm3402,28,26,103,85,3.8,3,75,106.4
acs-apm3432,40,15,334,182,2.5,8,18,100
acs-b349,28,23,639,342,19.3,22,52,540.4
acs-bh1309,1,1,1,1,0.1,1,5,0.1
acs-ccc,3,2,84,45,0.0,28,0,0
acs-courtrm,7,6,295,111,16.8,42,23,117.6
acs-csb115,30,26,135,92,2.4,4,36,72
acs-cseb220,29,15,178,30,13.4,6,133,388.6
acs-ebu2-127,2,2,23,13,14.5,11,79,29
acs-ebu2-131,1,1,2,2,1.4,2,41,1.4
acs-ebu2-203,32,30,685,324,24.6,21,70,787.2
acs-ebu2-205,25,18,357,208,11.2,14,48,280
acs-ebu2-239,31,25,739,295,18.0,23,46,558
acs-ebu2-311,6,3,14,12,10.6,2,318,63.6
acs-ebu2-312,1,1,15,9,13.9,15,55,13.9
acs-ebu2-315,6,6,179,90,14.7,29,30,88.2
acs-ebu2-328,2,2,17,5,0.2,8,1,0.4
acs-ebu2-330,16,15,117,113,10.7,7,91,171.2
acs-ebu2-333,3,3,19,13,4.9,6,48,14.7
acs-ebu2-335,13,13,107,101,12.2,8,91,158.6
acs-ebu2-339,2,2,25,11,12.7,12,63,25.4
acs-ebu2-b035,2,2,24,13,41.5,12,207,83
acs-ebu3a108,10,8,69,51,9.1,6,90,91
acs-ebu3a161,21,8,126,70,2.5,6,25,52.5
acs-econ100,20,17,417,228,12.9,20,38,258
acs-econ304,14,12,167,50,17.6,11,96,246.4
acs-erc117,30,24,689,358,17.8,22,48,534
acs-gl1al,25,19,723,372,18.6,28,39,465
acs-gl1t,46,32,1137,588,13.3,24,33,611.8
acs-gl1w,54,45,1263,593,22.2,23,57,1198.8
acs-gl2w,55,43,2169,1159,23.6,39,36,1298
acs-hss6033,2,2,38,22,3.9,19,12,7.8
acs-irps,10,10,191,87,7.7,19,24,77
acs-may2544,15,12,156,125,11.5,10,68,172.5
acs-may2722,6,6,114,94,9.8,19,30,58.8
acs-may3543,1,1,4,3,14.3,4,214,14.3
acs-may3544,7,7,43,28,11.2,6,111,78.4
acs-may3574,9,9,54,26,12.7,6,127,114.3
acs-moms,3,3,480,302,0.0,160,0,0
acs-nsb1313a,5,5,7,2,10.0,1,601,50
acs-nsb2303,47,34,310,128,4.4,6,44,206.8
acs-nsb2311,1,1,1,1,0.1,1,8,0.1
acs-nsb2319,1,1,3,2,0.5,3,10,0.5
acs-osb10,1,1,1,1,10.0,1,600,10
acs-pch104,8,4,124,68,0.2,15,0,1.6
acs-rcl,1,1,209,174,0.0,209,0,0
acs-rh228,1,1,11,6,1.0,11,5,1
acs-rimac,3,3,137,107,18.2,45,24,54.6
acs-seq142,25,21,405,230,6.6,16,24,165
acs-sme143,50,46,1136,348,22.1,22,60,1105
acs-sme320,1,1,2,2,0.1,2,1,0.1
acs-sungod,9,9,543,387,23.3,60,23,209.7
acs-treetop,13,13,850,363,17.4,65,16,226.2
acs-triton,28,26,2187,1309,26.1,78,20,730.8
acs-usrsrvs,1,1,17,8,0.2,17,0,0.2
acs-va228,2,2,5,5,2.9,2,85,5.8
acs-va231,1,1,1,1,4.5,1,269,4.5
acs-vilb3w,1,1,132,106,7.7,132,3,7.7
acs-vilb4e,4,4,233,134,8.7,58,9,34.8
acs-wlh2211,14,13,127,87,11.4,9,76,159.6
acs-wlh2212,19,14,102,40,8.1,5,97,153.9
acs-wlh2213a,14,12,28,24,2.6,2,76,36.4
acs-wlh2214,5,5,93,60,21.8,18,72,109
acs-wlh2215,15,15,79,66,8.0,5,96,120
acs-wlh2216,5,5,73,38,20.6,14,88,103
acs-wlh2217a,9,5,22,8,5.1,2,152,45.9
acs-wlh2217c,5,5,79,60,24.5,15,97,122.5
acs-yh1146,2,1,2,2,10.0,1,600,20
acs-yh1150,1,1,2,2,0.0,2,0,0
acs-yh1344,3,2,5,2,9.2,1,552,27.6
acs-yh2310,1,1,12,4,18.2,12,91,18.2
acs-yh2332,1,1,9,4,22.2,9,147,22.2
acs-yh2410,7,7,186,59,27.1,26,62,189.7
acs-yh2432,7,7,151,48,21.1,21,60,147.7
acs-yh3020,22,21,185,104,9.4,8,70,206.8
acs-yh3136,1,1,14,7,1.6,14,6,1.6
acs-yh4124,13,12,21,18,3.3,1,200,42.9
