XP/Win7 usage for:  Sun May  3 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,108,95,3617,1381,22.9,33,41,2473.2
ALL-XP,1088,485,22563,7860,12.5,20,37,13600
acms-ga,108,95,3617,1381,22.9,33,41,2473.2
acms-osd,2,1,7,2,0.0,3,0,0
acs-apm3402,27,26,74,55,2.7,2,81,72.9
acs-apm3432,43,20,375,196,2.5,8,18,107.5
acs-b349,28,23,480,277,18.3,17,64,512.4
acs-bh1309,1,1,3,2,1.2,3,24,1.2
acs-bh1449,1,1,1,1,0.0,1,1,0
acs-ccc,3,2,67,45,0.0,22,0,0
acs-courtrm,7,6,236,106,11.9,33,21,83.3
acs-csb115,30,28,160,113,3.7,5,44,111
acs-cseb220,27,16,174,30,16.8,6,167,453.6
acs-ebu2-127,2,2,7,5,2.7,3,54,5.4
acs-ebu2-131,1,1,3,3,0.5,3,10,0.5
acs-ebu2-203,32,30,696,327,24.9,21,71,796.8
acs-ebu2-205,25,17,409,217,9.5,16,35,237.5
acs-ebu2-239,31,24,792,300,11.0,25,26,341
acs-ebu2-311,5,4,35,20,1.2,7,10,6
acs-ebu2-312,1,1,11,6,16.1,11,88,16.1
acs-ebu2-315,5,5,114,72,10.9,22,29,54.5
acs-ebu2-328,1,1,1,1,10.0,1,600,10
acs-ebu2-330,16,16,200,128,14.7,12,73,235.2
acs-ebu2-333,3,3,24,13,9.4,8,70,28.2
acs-ebu2-335,13,13,175,123,15.0,13,69,195
acs-ebu2-339,2,2,14,7,10.3,7,88,20.6
acs-ebu2-b035,2,2,22,12,40.5,11,220,81
acs-ebu3a108,9,8,61,51,10.5,6,104,94.5
acs-ebu3a161,25,13,217,95,3.8,8,28,95
acs-econ100,20,12,281,164,7.4,14,31,148
acs-econ304,15,11,160,59,16.5,10,99,247.5
acs-erc117,30,29,784,475,15.0,26,34,450
acs-gl1al,25,18,674,376,14.3,26,33,357.5
acs-gl1t,47,35,1108,572,12.0,23,31,564
acs-gl1w,53,46,1182,599,21.3,22,58,1128.9
acs-gl2w,55,45,2137,1144,19.8,38,31,1089
acs-hh1155,1,1,1,1,0.1,1,5,0.1
acs-hss6033,2,2,31,15,4.9,15,19,9.8
acs-irps,10,10,205,92,7.5,20,22,75
acs-may2544,15,14,163,146,14.8,10,88,222
acs-may2574,1,1,1,1,0.1,1,7,0.1
acs-may2722,6,6,88,66,6.3,14,26,37.8
acs-may3229,1,1,2,2,0.8,2,23,0.8
acs-may3543,1,1,4,2,1.8,4,26,1.8
acs-may3544,7,6,47,28,12.1,6,120,84.7
acs-may3574,9,9,48,28,12.0,5,143,108
acs-moms,3,3,417,268,0.0,139,0,0
acs-nsb1313a,5,5,7,1,10.0,1,600,50
acs-nsb2303,34,13,187,97,2.6,5,31,88.4
acs-nsb2319,1,1,1,1,10.0,1,600,10
acs-osb10,1,1,2,2,0.1,2,4,0.1
acs-pch104,8,4,165,86,0.0,20,0,0
acs-rcl,1,1,185,158,6.0,185,1,6
acs-rh228,1,1,5,4,2.1,5,25,2.1
acs-rimac,3,3,131,106,10.8,43,15,32.4
acs-seq142,25,15,366,219,7.9,14,34,197.5
acs-sme143,50,43,941,312,15.8,18,52,790
acs-sme320,1,1,1,1,0.0,1,2,0
acs-sungod,9,9,565,347,22.6,62,21,203.4
acs-treetop,13,13,730,339,22.8,56,24,296.4
acs-triton,28,27,2329,1329,22.4,83,16,627.2
acs-usrsrvs,1,1,6,4,0.5,6,4,0.5
acs-va228,2,2,8,6,8.0,4,119,16
acs-va231,1,1,5,3,8.2,5,98,8.2
acs-vilb3w,1,1,117,98,3.3,117,1,3.3
acs-vilb4e,4,4,238,135,5.3,59,5,21.2
acs-wlh2211,14,14,220,165,26.1,15,104,365.4
acs-wlh2212,20,17,148,45,13.0,7,111,260
acs-wlh2213a,15,15,86,78,9.8,5,117,147
acs-wlh2214,5,5,127,72,23.8,25,57,119
acs-wlh2215,15,15,125,101,12.3,8,92,184.5
acs-wlh2216,5,5,52,27,18.9,10,113,94.5
acs-wlh2217a,9,7,39,20,5.9,4,88,53.1
acs-wlh2217c,5,5,90,67,27.1,18,90,135.5
acs-yh1146,4,2,6,2,9.6,1,578,38.4
acs-yh1344,3,2,3,2,6.8,1,405,20.4
acs-yh2310,1,1,8,4,15.3,8,114,15.3
acs-yh2332,1,1,10,4,15.5,10,93,15.5
acs-yh2410,7,7,95,43,18.2,13,83,127.4
acs-yh2432,7,7,112,37,23.3,16,87,163.1
acs-yh3020,24,19,113,73,3.5,4,53,84
acs-yh3136,1,1,9,6,3.2,9,21,3.2
acs-yh4124,12,10,23,20,3.1,1,184,37.2
