XP/Win7 usage for:  Sun Nov 16 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,134,111,4173,1417,23.9,31,46,3202.6
ALL-XP,1085,486,22979,7839,14.0,21,40,15190
acms-ga,134,111,4173,1417,23.9,31,46,3202.6
acs-apm3402,26,26,63,36,0.9,2,27,23.4
acs-apm3432,40,19,356,218,4.2,8,31,168
acs-b349,28,26,598,302,16.5,21,47,462
acs-bh1309,1,1,2,2,2.3,2,68,2.3
acs-bh1329,1,1,6,4,0.1,6,1,0.1
acs-bh1413,1,1,2,1,1.3,2,40,1.3
acs-ccc,3,3,75,45,1.9,25,4,5.7
acs-csb115,30,19,203,127,4.0,6,39,120
acs-cseb220,17,3,30,27,0.6,1,37,10.2
acs-cseb250,1,1,3,2,0.9,3,18,0.9
acs-ebu2-203,30,26,563,295,18.8,18,62,564
acs-ebu2-205,26,20,302,144,11.0,11,59,286
acs-ebu2-239,32,21,486,223,13.7,15,54,438.4
acs-ebu2-311,1,1,3,2,0.1,3,1,0.1
acs-ebu2-312,1,1,1,1,0.1,1,9,0.1
acs-ebu2-315,6,6,134,79,17.9,22,48,107.4
acs-ebu2-330,16,15,121,100,7.0,7,60,112
acs-ebu2-333,3,3,6,6,1.3,2,39,3.9
acs-ebu2-335,13,12,84,71,7.2,6,72,93.6
acs-ebu2-339,2,2,6,3,2.3,3,46,4.6
acs-ebu3a108,5,4,14,7,2.7,2,81,13.5
acs-ebu3a161,26,12,202,114,8.7,7,74,226.2
acs-econ100,20,12,226,115,10.1,11,55,202
acs-econ304,18,10,170,45,10.7,9,71,192.6
acs-erc117,30,30,666,443,19.4,22,52,582
acs-gl1al,24,21,758,423,19.8,31,38,475.2
acs-gl1t,47,45,1365,703,21.8,29,45,1024.6
acs-gl2w,55,45,2479,1287,23.7,45,31,1303.5
acs-glbw,53,51,1702,723,24.0,32,44,1272
acs-hh1155,1,1,1,1,1.5,1,90,1.5
acs-hss6033,2,2,46,22,4.2,23,10,8.4
acs-irps,10,10,380,135,11.0,38,17,110
acs-may2544,15,15,163,133,14.6,10,87,219
acs-may2574,1,1,1,1,0.0,1,2,0
acs-may2722,5,5,79,64,2.8,15,11,14
acs-may3543,1,1,9,4,0.5,9,3,0.5
acs-may3544,7,7,44,14,10.3,6,103,72.1
acs-may3574,7,6,16,11,2.2,2,66,15.4
acs-moms,3,3,318,199,6.2,106,3,18.6
acs-nsb1111,1,1,1,1,0.0,1,1,0
acs-nsb1313a,5,5,22,1,28.5,4,427,142.5
acs-nsb2303,38,13,176,84,3.0,4,45,114
acs-nsb2311,3,2,7,5,1.5,2,45,4.5
acs-nsb2319,2,1,3,2,0.3,1,19,0.6
acs-osb10,1,1,2,2,0.2,2,5,0.2
acs-pch104,8,8,159,61,1.2,19,3,9.6
acs-rcl,1,1,174,140,11.5,174,3,11.5
acs-rh228,1,1,6,5,5.8,6,58,5.8
acs-rimac,3,3,178,127,23.3,59,23,69.9
acs-seq142,26,18,234,128,10.5,9,70,273
acs-sme143,50,50,1277,340,32.3,25,77,1615
acs-sungod,9,9,588,406,27.9,65,25,251.1
acs-treetop,12,12,536,348,21.5,44,29,258
acs-triton,27,25,2284,1352,22.2,84,15,599.4
acs-usrsrvs,1,1,1,1,0.2,1,10,0.2
acs-va228,3,3,5,3,0.0,1,2,0
acs-va231,2,2,3,2,0.3,1,17,0.6
acs-vilb3w,2,2,267,203,9.4,133,4,18.8
acs-vilb4e,4,3,67,47,4.1,16,15,16.4
acs-wlh2211,15,15,185,120,18.5,12,92,277.5
acs-wlh2212,18,11,76,43,3.8,4,56,68.4
acs-wlh2213a,15,15,221,122,20.1,14,86,301.5
acs-wlh2214,5,5,64,38,13.2,12,66,66
acs-wlh2215,13,13,41,32,5.1,3,102,66.3
acs-wlh2216,5,4,25,12,5.0,5,60,25
acs-wlh2217a,10,8,62,17,8.0,6,80,80
acs-wlh2217c,4,4,27,18,5.4,6,54,21.6
acs-yh1146,1,1,1,1,0.9,1,52,0.9
acs-yh1322,1,1,3,1,2.6,3,51,2.6
acs-yh1344,6,5,10,4,10.0,1,601,60
acs-yh2332,1,1,4,3,8.4,4,126,8.4
acs-yh2410,7,7,116,47,22.6,16,84,158.2
acs-yh2432,7,7,96,37,31.5,13,145,220.5
acs-yh3020,24,19,171,79,9.9,7,84,237.6
acs-yh3136,1,1,12,7,3.1,12,15,3.1
acs-yh4124,11,10,19,15,2.9,1,171,31.9
