XP/Win7 usage for:  Sun Nov  2 01:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,140,124,4476,1604,23.2,31,44,3248
ALL-XP,1073,521,23805,8317,13.9,22,37,14914.7
acms-ga,139,123,4475,1603,23.4,32,43,3252.6
acms-mae,1,1,1,1,10.0,1,600,10
acs-apm3402,25,22,78,68,3.2,3,64,80
acs-apm3432,43,26,575,386,4.8,13,22,206.4
acs-b349,28,26,630,322,17.6,22,48,492.8
acs-bh1309,1,1,2,2,0.1,2,3,0.1
acs-bh1329,1,1,1,1,0.2,1,15,0.2
acs-ccc,3,3,95,52,2.2,31,4,6.6
acs-csb115,30,22,335,208,6.5,11,35,195
acs-cseb220,13,2,25,17,1.8,1,106,23.4
acs-cseb250,1,1,10,10,2.2,10,13,2.2
acs-ebu2-121,1,1,6,2,0.9,6,9,0.9
acs-ebu2-127,1,1,1,1,1.9,1,113,1.9
acs-ebu2-203,30,28,582,318,16.0,19,50,480
acs-ebu2-205,26,21,296,165,11.4,11,62,296.4
acs-ebu2-239,32,24,452,235,14.7,14,63,470.4
acs-ebu2-311,1,1,3,2,0.0,3,0,0
acs-ebu2-315,6,6,107,60,7.5,17,26,45
acs-ebu2-330,15,15,113,99,12.2,7,104,183
acs-ebu2-333,2,2,10,5,23.1,5,277,46.2
acs-ebu2-335,13,13,88,73,11.0,6,109,143
acs-ebu2-339,2,2,5,2,6.2,2,186,12.4
acs-ebu3a108,9,6,21,16,2.9,2,87,26.1
acs-ebu3a161,24,13,217,109,6.5,9,43,156
acs-econ100,20,16,371,200,11.1,18,36,222
acs-econ304,19,11,193,44,8.5,10,51,161.5
acs-erc117,30,24,582,385,10.1,19,31,303
acs-gl1al,24,23,713,426,23.4,29,48,561.6
acs-gl1t,40,35,1396,744,18.3,34,32,732
acs-gl2w,54,47,2582,1349,25.9,47,33,1398.6
acs-glbw,53,50,1708,805,26.3,32,49,1393.9
acs-hss6033,2,2,35,18,4.2,17,14,8.4
acs-irps,10,10,396,127,13.8,39,21,138
acs-may2544,15,14,160,139,15.0,10,89,225
acs-may2722,6,6,101,68,1.8,16,6,10.8
acs-may3543,1,1,5,3,0.3,5,4,0.3
acs-may3544,6,6,31,12,8.4,5,101,50.4
acs-may3574,5,4,9,7,3.2,1,192,16
acs-moms,3,3,253,176,5.5,84,3,16.5
acs-nsb1103a,1,1,6,4,0.1,6,0,0.1
acs-nsb1111,1,1,4,3,0.0,4,0,0
acs-nsb1313a,4,4,11,2,17.5,2,526,70
acs-nsb2303,36,12,177,85,3.1,4,46,111.6
acs-nsb2311,5,3,9,7,1.3,1,79,6.5
acs-pch104,8,5,222,76,1.4,27,3,11.2
acs-rcl,1,1,170,150,12.7,170,4,12.7
acs-rh228,1,1,4,4,0.8,4,12,0.8
acs-rimac,3,3,159,119,24.9,53,28,74.7
acs-seq142,25,13,238,140,7.0,9,46,175
acs-sme143,50,43,1086,338,26.7,21,76,1335
acs-sungod,9,9,595,390,26.5,66,24,238.5
acs-treetop,12,12,509,312,26.2,42,37,314.4
acs-triton,27,25,2366,1434,30.7,87,21,828.9
acs-usrsrvs,1,1,7,4,0.5,7,3,0.5
acs-va228,3,2,5,5,2.7,1,163,8.1
acs-va231,2,1,2,2,0.0,1,0,0
acs-vilb3w,2,2,322,224,15.2,161,5,30.4
acs-vilb4e,4,4,14,2,0.0,3,0,0
acs-wlh2211,16,15,220,110,14.7,13,68,235.2
acs-wlh2212,20,18,172,69,10.7,8,80,214
acs-wlh2213a,15,15,328,167,24.5,21,70,367.5
acs-wlh2214,5,5,64,34,15.1,12,75,75.5
acs-wlh2215,15,14,45,36,4.2,3,83,63
acs-wlh2216,3,1,9,6,0.8,3,16,2.4
acs-wlh2217a,10,7,65,28,8.3,6,82,83
acs-wlh2217c,5,5,30,20,3.3,6,33,16.5
acs-yh1146,1,1,1,1,0.0,1,1,0
acs-yh1344,1,1,2,1,1.5,2,44,1.5
acs-yh2310,1,1,1,1,0.0,1,2,0
acs-yh2332,1,1,5,3,11.0,5,132,11
acs-yh2410,7,7,71,40,19.9,10,119,139.3
acs-yh2432,7,7,69,31,22.9,9,152,160.3
acs-yh3020,24,23,123,81,3.8,5,45,91.2
acs-yh3136,1,1,11,6,2.9,11,15,2.9
acs-yh4124,11,10,20,15,3.5,1,212,38.5
