XP/Win7 usage for:  Sun Oct 26 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,138,114,4616,1529,23.4,33,42,3229.2
ALL-XP,1087,470,24290,8313,12.5,22,34,13587.5
acms-ga,138,114,4616,1529,23.4,33,42,3229.2
acs-apm3402,24,23,34,32,0.8,1,45,19.2
acs-apm3432,41,31,762,574,7.2,18,23,295.2
acs-b349,28,28,583,301,16.3,20,49,456.4
acs-bh1329,1,1,1,1,0.8,1,47,0.8
acs-bh1413,1,1,1,1,0.1,1,6,0.1
acs-ccc,3,3,87,51,1.9,29,4,5.7
acs-courtrm,7,7,7,1,0.0,1,0,0
acs-csb115,30,22,214,133,3.9,7,33,117
acs-cseb220,16,3,29,25,0.6,1,38,9.6
acs-cseb250,1,1,15,12,12.8,15,51,12.8
acs-ebu2-121,1,1,7,2,5.3,7,45,5.3
acs-ebu2-127,1,1,1,1,1.5,1,88,1.5
acs-ebu2-203,32,25,561,298,14.0,17,49,448
acs-ebu2-205,26,18,252,160,8.2,9,54,213.2
acs-ebu2-239,32,26,467,265,15.2,14,65,486.4
acs-ebu2-311,6,3,9,1,0.0,1,2,0
acs-ebu2-315,4,2,24,18,1.8,6,17,7.2
acs-ebu2-330,15,15,107,92,12.3,7,105,184.5
acs-ebu2-333,3,3,5,5,2.1,1,125,6.3
acs-ebu2-335,13,13,78,71,11.8,6,118,153.4
acs-ebu2-339,2,2,5,3,7.1,2,213,14.2
acs-ebu3a108,7,4,21,15,4.7,3,94,32.9
acs-ebu3a161,27,15,302,110,6.6,11,35,178.2
acs-econ100,20,15,324,178,9.3,16,34,186
acs-econ304,17,12,200,50,7.0,11,38,119
acs-erc117,30,29,665,418,16.0,22,43,480
acs-gl1al,24,19,754,441,17.6,31,34,422.4
acs-gl1t,40,35,1316,680,18.0,32,33,720
acs-gl2w,53,47,2561,1397,21.1,48,26,1118.3
acs-glbw,53,52,1966,864,24.1,37,39,1277.3
acs-hh1155,1,1,4,4,0.6,4,8,0.6
acs-hss6033,2,2,42,19,5.2,21,14,10.4
acs-irps,10,10,371,129,10.7,37,17,107
acs-may2544,15,15,169,138,17.8,11,97,267
acs-may2722,6,6,70,41,2.0,11,10,12
acs-may3543,1,1,5,2,0.4,5,4,0.4
acs-may3544,7,7,35,15,6.9,5,82,48.3
acs-may3574,4,3,12,6,9.2,3,184,36.8
acs-mgh2116,1,1,1,1,0.1,1,3,0.1
acs-moms,3,3,252,175,4.9,84,3,14.7
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,5,4,8,2,12.5,1,750,62.5
acs-nsb2303,35,12,170,79,3.2,4,47,112
acs-nsb2311,4,2,11,7,0.9,2,26,3.6
acs-nsb2319,2,2,5,3,3.6,2,106,7.2
acs-osb10,1,1,6,5,2.2,6,21,2.2
acs-pch104,8,4,186,77,1.6,23,4,12.8
acs-rcl,1,1,188,151,11.7,188,3,11.7
acs-rh228,1,1,3,3,0.5,3,10,0.5
acs-rimac,3,3,173,137,22.5,57,23,67.5
acs-seq142,26,12,207,109,6.9,7,59,179.4
acs-sme143,50,45,1373,350,21.2,27,47,1060
acs-sungod,9,9,563,398,19.1,62,18,171.9
acs-treetop,13,13,523,309,21.7,40,32,282.1
acs-triton,26,25,2358,1367,27.7,90,18,720.2
acs-usrsrvs,1,1,3,3,0.2,3,4,0.2
acs-va228,2,2,7,5,2.7,3,53,5.4
acs-va231,2,2,9,5,3.9,4,58,7.8
acs-vilb3w,2,2,336,222,10.6,168,3,21.2
acs-wlh2211,16,16,366,174,20.6,22,56,329.6
acs-wlh2212,20,8,77,41,4.5,3,90,90
acs-wlh2213a,13,5,77,53,5.4,5,64,70.2
acs-wlh2214,5,5,70,40,14.5,14,62,72.5
acs-wlh2215,15,14,105,86,10.5,7,90,157.5
acs-wlh2216,5,4,18,12,3.2,3,64,16
acs-wlh2217a,8,7,42,10,9.4,5,112,75.2
acs-wlh2217c,5,3,21,15,4.3,4,63,21.5
acs-yh1146,2,1,2,2,2.1,1,128,4.2
acs-yh1322,2,2,4,2,1.7,2,51,3.4
acs-yh1344,4,2,7,4,1.9,1,114,7.6
acs-yh2310,1,1,4,2,0.8,4,11,0.8
acs-yh2332,1,1,3,2,4.2,3,84,4.2
acs-yh2410,7,7,124,44,21.5,17,76,150.5
acs-yh2432,7,7,102,39,26.0,14,111,182
acs-yh3020,24,21,171,105,6.8,7,58,163.2
acs-yh3136,1,1,11,7,9.3,11,51,9.3
acs-yh4124,13,11,21,17,3.8,1,228,49.4
