XP/Win7 usage for:  Sun Oct  5 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,98,78,3477,1155,21.0,35,36,2058
ALL-XP,1023,450,21353,7583,9.8,20,29,10025.4
acms-ga,98,78,3477,1155,21.0,35,36,2058
acs-apm3402,29,26,76,33,0.9,2,25,26.1
acs-apm3432,43,18,370,188,2.3,8,17,98.9
acs-b349,28,23,445,234,10.4,15,41,291.2
acs-bh1449,1,1,1,1,0.1,1,4,0.1
acs-ccc,3,2,82,49,2.2,27,4,6.6
acs-courtrm,7,7,39,3,3.7,5,44,25.9
acs-csb115,30,27,251,179,3.5,8,26,105
acs-cseb220,28,12,145,72,2.6,5,31,72.8
acs-cseb250,1,1,1,1,0.1,1,4,0.1
acs-cseb260,1,1,5,4,0.3,5,3,0.3
acs-ebu2-127,2,2,7,5,3.5,3,69,7
acs-ebu2-203,29,21,378,195,6.8,13,31,197.2
acs-ebu2-205,26,24,264,154,7.1,10,42,184.6
acs-ebu2-239,32,27,447,231,10.0,13,46,320
acs-ebu2-311,1,1,5,2,0.0,5,0,0
acs-ebu2-315,6,4,44,14,0.8,7,6,4.8
acs-ebu2-330,16,16,94,90,11.3,5,135,180.8
acs-ebu2-333,1,1,4,2,1.3,4,19,1.3
acs-ebu2-335,13,13,78,68,10.1,6,100,131.3
acs-ebu2-b035,1,1,1,1,10.0,1,600,10
acs-ebu3a108,8,8,26,14,2.2,3,44,17.6
acs-ebu3a161,25,20,242,104,6.4,9,42,160
acs-econ100,19,9,143,91,4.0,7,34,76
acs-econ304,18,11,134,44,7.4,7,63,133.2
acs-erc117,30,25,511,350,6.4,17,22,192
acs-gl1al,24,22,627,365,14.0,26,32,336
acs-gl1t,39,34,1102,582,14.0,28,29,546
acs-gl2w,55,49,2918,1568,20.6,53,23,1133
acs-glbw,51,46,1766,718,17.9,34,31,912.9
acs-hss6033,2,2,41,20,4.5,20,13,9
acs-irps,10,10,279,116,5.6,27,12,56
acs-may2544,15,14,200,181,12.6,13,58,189
acs-may2722,1,1,1,1,2.1,1,125,2.1
acs-may3543,1,1,10,2,0.6,10,3,0.6
acs-may3544,7,7,20,13,5.4,2,162,37.8
acs-may3574,7,5,15,7,4.3,2,129,30.1
acs-moms,3,3,177,123,3.9,59,3,11.7
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1111,1,1,8,8,0.9,8,7,0.9
acs-nsb1303a,1,1,8,2,0.0,8,0,0
acs-nsb1313a,4,4,19,5,17.5,4,262,70
acs-nsb2303,32,8,90,56,1.5,2,45,48
acs-nsb2311,1,1,2,2,20.0,2,600,20
acs-osb10,1,1,8,5,5.4,8,40,5.4
acs-pch104,7,4,176,71,1.8,25,4,12.6
acs-rcl,1,1,159,118,8.7,159,3,8.7
acs-rh228,1,1,2,1,2.1,2,63,2.1
acs-rimac,3,3,120,86,9.1,40,13,27.3
acs-seq142,26,22,155,94,2.8,5,33,72.8
acs-sme143,49,49,1121,340,15.0,22,40,735
acs-sungod,9,9,691,457,21.8,76,17,196.2
acs-treetop,13,13,605,322,20.1,46,26,261.3
acs-triton,28,27,2660,1573,24.4,95,15,683.2
acs-va228,5,5,7,3,0.2,1,10,1
acs-va231,2,2,5,4,0.3,2,10,0.6
acs-vilb3w,2,2,298,180,11.2,149,4,22.4
acs-wlh2211,16,15,130,96,11.3,8,84,180.8
acs-wlh2212,20,10,101,44,4.5,5,54,90
acs-wlh2213a,15,15,309,156,21.8,20,65,327
acs-wlh2214,2,2,3,3,0.9,1,53,1.8
acs-wlh2215,15,15,75,63,6.6,5,79,99
acs-wlh2216,1,1,1,1,1.4,1,81,1.4
acs-wlh2217a,7,3,18,7,2.1,2,63,14.7
acs-wlh2217c,2,1,2,2,0.0,1,1,0
acs-yh1146,2,1,2,2,10.0,1,600,20
acs-yh1322,3,3,7,1,15.4,2,462,46.2
acs-yh1344,5,3,12,8,2.0,2,60,10
acs-yh2310,1,1,3,2,20.1,3,402,20.1
acs-yh2332,1,1,2,1,4.3,2,129,4.3
acs-yh2410,7,7,30,23,3.6,4,53,25.2
acs-yh2432,7,7,33,23,4.0,4,60,28
acs-yh3020,4,2,6,3,0.1,1,9,0.4
acs-yh3136,1,1,24,15,4.5,24,11,4.5
acs-yh4124,16,15,34,23,3.3,2,99,52.8
