XP/Win7 usage for:  Sun Sep 21 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,72,48,470,205,2.1,6,20,151.2
ALL-XP,475,69,1783,636,1.2,3,23,570
acms-ga,72,48,470,205,2.1,6,20,151.2
acs-bh1413,1,1,1,1,1.7,1,104,1.7
acs-bml,33,16,276,134,6.6,8,49,217.8
acs-bmlgl,4,2,35,28,3.1,8,23,12.4
acs-ccc,2,2,12,8,0.8,6,7,1.6
acs-csb115,15,2,19,7,0.0,1,1,0
acs-cseb220,5,2,7,7,2.3,1,136,11.5
acs-ebu2-107,2,2,2,1,0.0,1,0,0
acs-ebu2-121,7,5,11,2,0.0,1,2,0
acs-ebu2-127,2,2,2,1,0.0,1,0,0
acs-ebu2-131,2,2,2,1,0.0,1,0,0
acs-ebu2-203,33,14,104,7,0.3,3,5,9.9
acs-ebu2-205,25,11,53,2,0.3,2,7,7.5
acs-ebu2-239,32,12,132,1,0.3,4,4,9.6
acs-ebu2-311,6,6,6,1,0.0,1,2,0
acs-ebu2-312,2,1,2,1,0.0,1,0,0
acs-ebu2-315,6,6,46,5,0.2,7,1,1.2
acs-ebu2-328,2,2,6,2,0.2,3,3,0.4
acs-ebu2-330,16,8,24,2,0.1,1,4,1.6
acs-ebu2-333,2,2,6,3,3.7,3,74,7.4
acs-ebu2-335,13,12,24,2,0.1,1,4,1.3
acs-ebu2-339,2,2,3,1,0.0,1,0,0
acs-ebu2-b035,2,2,2,1,0.0,1,0,0
acs-ebu3a161,7,2,11,6,1.1,1,67,7.7
acs-econ100,2,1,4,2,0.0,2,0,0
acs-erc117,1,1,1,1,0.2,1,11,0.2
acs-gl1e,25,12,41,30,0.9,1,52,22.5
acs-glbsw,9,3,10,7,0.6,1,33,5.4
acs-glbw,52,18,185,73,1.8,3,35,93.6
acs-hss6033,2,2,13,10,1.5,6,15,3
acs-irps,9,5,55,33,2.1,6,21,18.9
acs-may2544,15,3,18,4,0.0,1,0,0
acs-may2574,2,2,2,1,0.0,1,0,0
acs-may2722,2,2,2,1,0.0,1,0,0
acs-may3574,1,1,10,1,16.4,10,98,16.4
acs-moms,2,1,4,3,0.2,2,5,0.4
acs-nsb1313a,1,1,1,1,10.0,1,600,10
acs-nsb2319,1,1,1,1,10.0,1,600,10
acs-osb10,1,1,3,1,0.2,3,4,0.2
acs-pch104,6,2,15,9,1.6,2,48,9.6
acs-rh228,1,1,9,1,27.5,9,183,27.5
acs-sme143,11,5,16,7,0.5,1,31,5.5
acs-vilb3w,1,1,6,5,0.4,6,3,0.4
acs-vilb6e,3,2,42,38,1.5,14,6,4.5
acs-wlh2211,7,4,12,5,9.5,1,570,66.5
acs-wlh2212,1,1,1,1,0.0,1,1,0
acs-yh1146,1,1,1,1,0.3,1,17,0.3
acs-yh1344,1,1,1,1,10.0,1,600,10
acs-yh2410,2,1,2,2,0.1,1,3,0.2
acs-yh3020,22,20,70,25,7.1,3,142,156.2
acs-yh3136,1,1,2,2,0.1,2,4,0.1
