XP/Win7 usage for:  Sun Sep  7 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,35,7,368,165,3.6,10,21,126
ALL-XP,451,72,2332,916,2.8,5,33,1262.8
acms-ga,35,7,368,165,3.6,10,21,126
acs-apm3432,1,1,2,1,0.8,2,25,0.8
acs-b325,1,1,1,1,0.1,1,5,0.1
acs-bml,62,29,390,191,10.5,6,104,651
acs-bmlgl,4,4,66,31,8.4,16,31,33.6
acs-ccc,1,1,4,2,0.8,4,11,0.8
acs-csb115,1,1,1,1,0.0,1,1,0
acs-cseb220,11,3,24,9,2.1,2,61,23.1
acs-cseb250,14,3,22,18,0.9,1,52,12.6
acs-cseb260,8,2,9,8,1.8,1,110,14.4
acs-cseb270,9,5,17,9,3.0,1,179,27
acs-ebu2-121,2,2,2,1,0.0,1,2,0
acs-ebu2-127,2,2,20,5,14.5,10,87,29
acs-ebu2-203,8,2,14,9,0.7,1,41,5.6
acs-ebu2-205,4,2,4,3,0.1,1,9,0.4
acs-ebu2-239,2,1,2,2,0.0,1,2,0
acs-ebu2-333,1,1,1,1,0.1,1,4,0.1
acs-ebu2-335,5,3,5,2,0.1,1,3,0.5
acs-ebu3a161,8,3,19,8,1.4,2,40,11.2
acs-erc117,1,1,1,1,1.1,1,66,1.1
acs-gl1e,66,14,254,128,2.6,3,51,171.6
acs-gl1w,57,28,378,185,5.2,6,52,296.4
acs-glbsw,14,4,27,13,1.3,1,76,18.2
acs-glbw,36,7,84,46,2.3,2,68,82.8
acs-hh1155,1,1,2,2,0.0,2,0,0
acs-hss6033,2,1,9,5,0.8,4,11,1.6
acs-irps,10,7,317,67,1.2,31,2,12
acs-may2544,1,1,2,1,0.3,2,8,0.3
acs-may3544,1,1,1,1,1.8,1,105,1.8
acs-may3574,2,2,13,2,16.2,6,162,32.4
acs-nsb1303a,2,1,2,1,0.0,1,1,0
acs-nsb1313a,3,1,3,1,0.0,1,0,0
acs-nsb2303,2,1,2,2,0.1,1,3,0.2
acs-nsb2311,1,1,1,1,0.4,1,22,0.4
acs-nsb2319,1,1,1,1,0.0,1,1,0
acs-osb10,1,1,3,2,0.4,3,7,0.4
acs-pch104,7,2,19,11,0.5,2,15,3.5
acs-rh228,1,1,2,1,1.0,2,31,1
acs-seq142,3,2,3,2,0.0,1,1,0
acs-sme143,18,5,51,20,2.8,2,84,50.4
acs-ssb139,6,2,13,6,1.0,2,31,6
acs-treetop,12,5,62,40,4.8,5,57,57.6
acs-triton,1,1,14,13,2.7,14,11,2.7
acs-vilb6e,4,4,31,23,4.6,7,39,18.4
acs-yh1146,2,1,2,2,0.1,1,4,0.2
acs-yh1344,2,1,3,2,0.1,1,8,0.2
acs-yh2410,7,7,30,4,0.7,4,10,4.9
acs-yh2432,7,6,24,3,1.1,3,22,7.7
acs-yh3136,1,1,7,2,0.6,7,5,0.6
