,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
1117,acs-york3070,28,23,126,106,4.3,4,63,120.4,2014-05-25,Mac
1115,acs-york1310,15,5,39,19,1.5,2,44,22.5,2014-05-25,Mac
1114,acs-vilb6e,2,2,125,103,4.8,62,4,9.6,2014-05-25,Mac
1113,acs-vilb3w,2,2,109,77,9.4,54,10,18.8,2014-05-25,Mac
1112,acs-va228,16,4,45,24,2.0,2,59,32.0,2014-05-25,Mac
1111,acs-sungod,9,9,353,282,17.8,39,27,160.2,2014-05-25,Mac
1110,acs-rimac,3,3,92,81,5.9,30,11,17.7,2014-05-25,Mac
1109,acs-rh228,5,4,18,11,1.6,3,32,8.0,2014-05-25,Mac
1108,acs-rcl,1,1,159,131,11.6,159,4,11.6,2014-05-25,Mac
1107,acs-raza,7,4,37,21,2.8,5,34,19.6,2014-05-25,Mac
1106,acs-pch440,8,3,11,9,0.2,1,13,1.6,2014-05-25,Mac
1105,acs-pch264,24,11,310,168,10.8,12,53,259.2,2014-05-25,Mac
1104,acs-pch240,16,14,77,72,3.0,4,44,48.0,2014-05-25,Mac
1103,acs-osb10,1,1,3,2,0.3,3,6,0.3,2014-05-25,Mac
1116,acs-york3060,24,21,88,77,3.2,3,63,76.8,2014-05-25,Mac
1102,acs-mgh2116,1,1,1,1,0.5,1,31,0.5,2014-05-25,Mac
1100,acs-may2326,7,7,62,61,8.6,8,64,60.2,2014-05-25,Mac
1099,acs-may2306,4,2,7,7,1.2,1,73,4.8,2014-05-25,Mac
1098,acs-may2130,7,7,82,70,9.4,11,51,65.8,2014-05-25,Mac
1097,acs-may2110,8,7,104,86,10.2,13,46,81.6,2014-05-25,Mac
1096,acs-manb206,38,22,222,150,5.0,5,59,190.0,2014-05-25,Mac
1095,acs-manb114,12,7,91,54,8.7,7,74,104.4,2014-05-25,Mac
1094,acs-hss6033,1,1,12,10,2.8,12,14,2.8,2014-05-25,Mac
1093,acs-glbw,18,17,310,202,20.0,17,70,360.0,2014-05-25,Mac
1092,acs-gh18b,9,4,38,25,1.3,4,19,11.7,2014-05-25,Mac
1091,acs-gh145,1,1,6,3,6.0,6,59,6.0,2014-05-25,Mac
1090,acs-cpmc207,1,1,3,1,20.3,3,406,20.3,2014-05-25,Mac
1089,acs-cpmc204,9,2,27,14,1.5,3,29,13.5,2014-05-25,Mac
1088,acs-cpmc201,1,1,1,1,10.0,1,600,10.0,2014-05-25,Mac
1101,acs-may4623,9,4,19,8,3.1,2,93,27.9,2014-05-25,Mac
1085,ALL-MAC,317,114,2910,1885,5.7,9,37,1806.9,2014-05-25,Mac
1086,acs-bml,5,5,53,33,14.7,10,88,73.5,2014-05-25,Mac
1087,acs-cntr315,25,23,280,208,5.5,11,30,137.5,2014-05-25,Mac
705,acs-cntr315,25,18,287,170,7.2,11,39,180.0,2014-06-01,Mac
703,ALL-MAC,374,139,4291,2445,7.3,11,39,2730.2,2014-06-01,Mac
711,acs-glbw,18,18,545,337,36.8,30,73,662.4,2014-06-01,Mac
712,acs-hss6033,1,1,12,9,1.1,12,5,1.1,2014-06-01,Mac
713,acs-manb114,12,12,290,160,22.9,24,57,274.8,2014-06-01,Mac
714,acs-manb206,38,19,247,117,4.9,6,49,186.2,2014-06-01,Mac
715,acs-may2110,5,3,11,8,1.6,2,49,8.0,2014-06-01,Mac
716,acs-may2130,4,2,15,8,1.8,3,35,7.2,2014-06-01,Mac
717,acs-may2306,8,8,76,71,6.3,9,42,50.4,2014-06-01,Mac
718,acs-may2326,6,6,57,54,6.7,9,44,40.2,2014-06-01,Mac
719,acs-may4623,23,6,63,21,2.1,2,62,48.3,2014-06-01,Mac
720,acs-mgh2116,1,1,1,1,0.4,1,26,0.4,2014-06-01,Mac
721,acs-osb10,1,1,9,8,1.9,9,12,1.9,2014-06-01,Mac
722,acs-pch240,16,15,130,97,5.6,8,42,89.6,2014-06-01,Mac
723,acs-pch264,24,16,447,230,19.0,18,63,456.0,2014-06-01,Mac
724,acs-pch440,42,42,181,99,1.9,4,28,79.8,2014-06-01,Mac
